瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),弥促浅氢(16规困),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),1矫埃 弥促老荤樊(MJ/m2)
236,何咯,2002-01-04,2,-4.4,9.1,,,,8.6,4.1,290,-2,48,77.4,4.3,
236,何咯,2002-01-05,0,-6,5.5,,,,7.9,4.1,320,-7.6,31,58.4,8.6,
236,何咯,2002-01-06,-2.1,-9.6,7.9,,,,3,2.1,270,-8.5,26,67.4,8.6,
236,何咯,2002-01-07,-1.1,-4.3,5.1,14.93,,,14.3,6.9,320,-4.8,54,77.6,3.2,
236,何咯,2002-01-08,-3.7,-8,-1,4.43,,,10.8,6.7,320,-9.2,53,68.3,6.2,
236,何咯,2002-01-09,-4,-10.8,3.9,,,,4.3,2.9,180,-8,43,77.9,8.8,
236,何咯,2002-01-10,.7,-7.5,9.8,,,,6.5,3.8,320,-2.6,57,81,3.1,
236,何咯,2002-01-11,1,-3.2,10.1,,,,4.6,3.1,140,-1.3,55,86.6,5.1,
236,何咯,2002-01-12,2.6,-4.8,12.3,,,,3.4,1.5,180,-1.1,47,80,5.3,
236,何咯,2002-01-13,7.7,1.1,12.6,,,,6.4,3.5,50,1.7,49,67.1,2.4,
236,何咯,2002-01-14,10.5,5,17,.47,,,6.4,3.8,160,6.1,56,75.1,2.4,
236,何咯,2002-01-15,12.2,8.6,14.8,9.18,,,3.9,2.1,320,11.5,88,95.5,0,
236,何咯,2002-01-16,8.7,5.6,13.1,3.95,,,6,3.1,360,7.4,86,91.6,0,
236,何咯,2002-01-17,3.6,0,7.3,.58,,,8,3.4,290,.5,56,81.3,1.2,
236,何咯,2002-01-18,1.4,-2,5.9,,,,6,3.4,20,-.9,65,84.9,5.4,
236,何咯,2002-01-19,4,-1,11.1,,,,5.3,2.8,290,.6,52,80,6.2,
236,何咯,2002-01-20,2.6,.1,5.5,7.82,,,3.9,2.1,360,1.2,75,90.4,0,
236,何咯,2002-01-21,.4,-.8,4.5,3.67,,,9.8,5.4,140,-2.5,58,82.5,2.6,
236,何咯,2002-01-22,-1.1,-2.5,.6,1.88,,,10,6,320,-7.4,51,62.8,5.6,
236,何咯,2002-01-23,-1.9,-4.8,2.5,.83,,,10.3,5.7,320,-8.1,46,64,7.5,
236,何咯,2002-01-24,-2.4,-7.9,4.5,,,,6,3.5,320,-8.8,28,67.1,9.2,
236,何咯,2002-01-25,-1.8,-8.8,5.1,,,,5.5,3.1,20,-9.5,24,61.3,9.1,
236,何咯,2002-01-26,1.4,-1.7,3.4,10.25,,,7.5,4.3,50,-2.8,57,74.5,0,
236,何咯,2002-01-27,.4,-1.7,3.2,,,,7,4,320,-4,52,72.9,2.7,
236,何咯,2002-01-28,-.6,-2.5,2.7,,,,10.3,6.6,320,-7.9,37,58.3,7.8,
236,何咯,2002-01-29,-1.8,-7.8,3.2,,,,7.9,4.5,90,-7,38,71,7.2,
236,何咯,2002-01-30,.2,-5,5.1,,,,10.6,5.8,290,-7.4,29,58.3,9.2,
236,何咯,2002-01-31,-2.6,-8,4.6,,,,5,3,230,-8.6,29,67.9,9.3,
236,何咯,2002-02-01,-1.9,-8.8,6.6,,,,5,2.8,200,-6.1,44,77.4,8.1,
236,何咯,2002-02-02,1,-4.6,10.3,,,,3.7,2.1,180,-4,29,74,7.5,
