瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),弥促浅氢(16规困),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),1矫埃 弥促老荤樊(MJ/m2)
236,何咯,1992-01-03,-1,-4.9,5,,,,,2,270,-4.8,43,78.8,7.7,
236,何咯,1992-01-04,-1.8,-7,5.6,,,,,1.5,180,-5.4,39,79,7.8,
236,何咯,1992-01-05,-.7,-4.5,3.1,,,,,2,360,-4.4,56,76.8,0,
236,何咯,1992-01-06,4.1,.8,7.5,8.53,,,,4,360,2.2,73,86.8,1.4,
236,何咯,1992-01-07,2.9,-1.5,5.4,3.98,,,,4,270,1,42,84.3,2.7,
236,何咯,1992-01-08,.6,-3,6,,,,,1.5,320,-2.4,41,82.3,2.6,
236,何咯,1992-01-09,1.3,-2,5.2,1.25,,,,3,270,-2.7,51,76.5,1.3,
236,何咯,1992-01-10,.1,-5,7.9,,,,,2,360,-5.1,33,72.8,8,
236,何咯,1992-01-11,-.8,-6.5,7.5,,,,,1.5,230,-5.7,28,73.5,7.1,
236,何咯,1992-01-12,-1,-5.4,5.4,,,,,1.5,140,-3.6,57,83,3.5,
236,何咯,1992-01-13,1,-2,4.9,.1,,,,3.5,270,-1.8,54,82.3,1.2,
236,何咯,1992-01-14,.8,-3.5,6,,,,,1.5,320,-4.2,35,73.5,6.7,
236,何咯,1992-01-15,-1.9,-6.5,3.5,,,,,2,180,-4,45,82,3.4,
236,何咯,1992-01-16,.2,-1,2,5.47,,,,1.5,270,-1.5,74,88.3,.6,
236,何咯,1992-01-17,-1.7,-4.3,1.5,.45,,,,5,320,-7.3,35,69.3,5.8,
236,何咯,1992-01-18,-2.4,-4.8,1.6,,,,,6.5,320,-11.3,27,54,8.7,
236,何咯,1992-01-19,-4.3,-9.6,3.1,,,,,2.5,180,-8.3,30,74,8.5,
236,何咯,1992-01-20,-2.9,-9.2,6.4,,,,,2,180,-8.7,27,71.8,8.4,
236,何咯,1992-01-21,-1.6,-8,4.7,.33,,,,1.5,140,-6,27,74.8,5.4,
236,何咯,1992-01-22,0,-2.7,3.1,.83,,,,5,320,-5.8,28,70.5,7.9,
236,何咯,1992-01-23,-1.6,-5.2,3.4,,,,,3,320,-7.2,28,73.3,5.3,
236,何咯,1992-01-24,.1,-3.6,6.4,,,,,4,230,-4.9,32,74.8,7.1,
236,何咯,1992-01-25,1.1,-3.3,8.2,.22,,,,3.5,320,-3.3,42,76.5,6.8,
236,何咯,1992-01-26,-1.5,-6.7,7.4,,,,,3.5,230,-6.9,32,73.5,8.5,
236,何咯,1992-01-27,-.2,-5.1,9.2,,,,,3,180,-5.4,31,74,7.8,
236,何咯,1992-01-28,1.1,-7,10.1,2.15,,,,4.5,180,-1.7,33,82.3,2.6,
236,何咯,1992-01-29,2.8,.4,8.3,,,,,2.5,360,-2.4,26,74,.5,
236,何咯,1992-01-30,.2,-3.5,4.8,,,,,4,360,-5.8,32,68.8,3.3,
236,何咯,1992-01-31,-1,-5.7,4.5,2.58,,,,4,320,-5.6,27,70.8,6.8,
236,何咯,1992-02-01,-.8,-4.8,5.4,,,,,4,230,-6,30,73.3,6.1,
236,何咯,1992-02-02,-.9,-5.6,3.3,4.62,,,,2.5,140,-3.6,54,82,2,
236,何咯,1992-02-03,1.5,-1.3,3.2,13.13,,,,5,360,-.1,83,89,0,
236,何咯,1992-02-04,-.8,-5.3,4.5,,,,,4,320,-6.1,31,68.5,8.4,
236,何咯,1992-02-05,-2.2,-8.4,5.2,,,,,3.5,320,-7.8,25,72,8.9,
236,何咯,1992-02-06,-1.5,-6.5,6.1,3.08,,,,4.5,320,-5.4,46,77.3,6.4,
236,何咯,1992-02-07,-2.8,-7.2,3.6,,,,,6.5,270,-7.2,38,76,8.5,
236,何咯,1992-02-08,-2.2,-7.7,2.4,,,,,5.5,320,-7.8,29,73,9.1,
236,何咯,1992-02-09,-2.2,-7.9,5.4,,,,,4.5,270,-7.2,29,74.8,7.6,
236,何咯,1992-02-10,-1.4,-7.2,7.5,,,,,4.5,270,-9.1,24,62.3,8.3,
236,何咯,1992-02-11,-2.2,-7.8,7,,,,,2.5,270,-7.3,33,73,8.8,
236,何咯,1992-02-12,-.9,-8.1,6.6,.77,,,,2.5,140,-2.7,42,86.8,5.1,
236,何咯,1992-02-13,1,-4.5,5,,,,,4.5,270,-5.6,26,64.8,9.2,
236,何咯,1992-02-14,-.8,-6.5,6.1,,,,,5,230,-5.6,34,75.3,8.5,
236,何咯,1992-02-15,2.3,-4.1,10.7,1.78,,,,6,270,-4.1,25,68,7.4,
236,何咯,1992-02-16,-1.5,-5.9,3,,,,,5,320,-13.4,31,40.8,9.3,
236,何咯,1992-02-17,-2.7,-8.1,5.1,,,,,2.5,320,-8.1,32,74.3,9.3,
236,何咯,1992-02-18,-1.6,-6.9,6.5,1.13,,,,4.5,270,-5.5,30,78,7,
236,何咯,1992-02-19,-2.7,-8.6,3.6,,,,,4,320,-9.5,30,63,9.7,
236,何咯,1992-02-20,-3.2,-10.5,5,,,,,4,320,-7.6,40,74.3,9.6,
236,何咯,1992-02-21,-1.3,-5.3,4.1,1.95,,,,5.5,320,-6.6,40,71,7.4,
236,何咯,1992-02-22,.1,-6.8,7.6,,,,,5.5,140,-5,29,72,7.6,
236,何咯,1992-02-23,2.7,-.1,7.7,.55,,,,4.5,320,-3.2,25,69,5.5,
236,何咯,1992-02-24,1.8,-4.7,6,,,,,6,270,-3.9,39,67,9.4,
236,何咯,1992-02-25,1.4,-5.3,11.2,,,,,3.5,320,-4,28,74.5,9.5,
236,何咯,1992-02-26,3.8,-5.9,14,,,,,6.5,200,-2.8,27,68.3,9.6,
236,何咯,1992-02-27,8.5,-.2,18.8,,,,,3.5,270,2.7,26,72.8,9.9,
236,何咯,1992-02-28,8,3.1,13.4,8.63,,,,2,140,6.6,63,91,0,
236,何咯,1992-02-29,12.9,9.4,16.9,3.28,,,,5.5,230,11.7,85,92.3,.5,
236,何咯,1992-03-01,9.6,7.8,11.2,3.42,,,,3.5,20,8.2,82,90.8,0,
236,何咯,1992-03-02,6.9,3.5,8.6,,,,,4.5,50,2.9,63,76,0,
236,何咯,1992-03-03,5.4,.8,11.8,,,,,3.5,360,-1.4,36,65.8,8.6,
236,何咯,1992-03-04,5.6,.4,11,1.33,,,,3.5,360,-1.4,45,62.8,5.6,
236,何咯,1992-03-05,3,2.2,4.7,16.67,,,,2.5,320,2.2,89,94.5,0,
236,何咯,1992-03-06,2.5,-1.7,7.4,1.92,,,,3.5,320,-.9,31,80,5.9,
236,何咯,1992-03-07,1.1,-5.2,9.1,,,,,4,230,-2.3,43,80.3,9.5,
236,何咯,1992-03-08,2.8,-2.7,11.4,,,,,3.5,270,-2.2,32,75.5,8.9,
236,何咯,1992-03-09,3.7,-4.5,13.9,,,,,3,270,-2.9,21,69.8,9.5,
236,何咯,1992-03-10,3.7,-2.7,11.6,,,,,4,320,-.1,33,77.8,8,
236,何咯,1992-03-11,4.4,-4.7,15.8,,,,,3.5,230,-2.5,29,66,8.2,
236,何咯,1992-03-12,4.5,-1.8,13.4,,,,,3.5,230,1.9,45,83,7.4,
236,何咯,1992-03-13,5.6,-.8,17.4,,,,,2.5,230,1.3,31,76.8,7.7,
236,何咯,1992-03-14,7.2,-1,17,.5,,,,2.5,270,-.9,45,77,5.5,
236,何咯,1992-03-15,11,7,19,,,,,4,320,4.8,28,69.8,6.3,
236,何咯,1992-03-16,7,3.8,10.2,.5,,,,5,70,4.5,70,84.5,0,
236,何咯,1992-03-17,3.9,1.9,7.6,12.75,,,,4.5,50,2,72,87.8,0,
236,何咯,1992-03-18,4.3,1.4,8.6,10.92,,,,3.5,360,2.9,78,90.5,2.4,
236,何咯,1992-03-19,7.9,3.5,14.1,,,,,3.5,320,2.2,30,76.5,8.1,
236,何咯,1992-03-20,5.5,-.3,11.4,3.92,,,,3.5,360,1.3,42,76.5,1.2,
236,何咯,1992-03-21,6,.2,12,4.53,,,,5,320,1.1,26,64,9.6,
236,何咯,1992-03-22,4.6,-3.4,14.2,,,,,2.5,50,-1,26,71,9.3,
236,何咯,1992-03-23,6.3,5,8.1,11.88,,,,3,50,4.9,82,90.8,0,
236,何咯,1992-03-24,7,3.9,12.1,2.05,,,,3.5,230,5.3,63,89,1.4,
236,何咯,1992-03-25,7.6,.7,13.8,,,,,2.5,320,.9,26,68,7.4,
236,何咯,1992-03-26,10.9,5.1,18.2,,,,,3,360,2.9,24,60.8,9.3,
236,何咯,1992-03-27,11.3,5.4,19.6,,,,,3.5,360,3.3,27,62.3,8.9,
236,何咯,1992-03-28,11.7,6,18.2,,,,,3.5,360,4.5,31,63.5,8.5,
236,何咯,1992-03-29,9.9,2,19.2,,,,,4.5,290,1.8,24,65.3,10.1,
236,何咯,1992-03-30,9.1,-.1,19.5,,,,,3.5,270,3.6,28,74,10.4,
236,何咯,1992-03-31,10,-.2,20.1,.33,,,,3.5,270,3.2,25,69.5,7,
236,何咯,1992-04-01,11.6,7.5,19.1,4.5,.5,1.5,,4.5,270,6.7,27,77,9.5,
236,何咯,1992-04-02,11.8,6.1,19.9,,,,,4,270,3.7,24,64.3,9.5,
236,何咯,1992-04-03,11.3,2.4,21.5,,,,,2.5,230,4.7,24,70.8,9.4,
236,何咯,1992-04-04,12.2,6.8,21.4,,,,,3,230,6.3,33,71.5,7.3,
236,何咯,1992-04-05,11.2,2,23.4,,,,,5,270,6.3,27,76,10.7,
236,何咯,1992-04-06,11.5,3.5,21.3,,,,,3,180,4,23,66,8,
236,何咯,1992-04-07,12.2,3.4,21.3,,,,,3.5,90,4.7,31,65,10.8,
236,何咯,1992-04-08,11.5,4.1,17,5.62,.5,3,,3.5,270,7.5,42,79.5,4.8,
236,何咯,1992-04-09,13.3,10.3,18.3,16.17,2,6.5,,4,50,12,75,92,2.8,
236,何咯,1992-04-10,9.9,7.4,12.4,20.42,3,9.5,,4,360,8.9,89,93.8,0,
236,何咯,1992-04-11,8.5,4.7,14.4,2.27,.5,1.5,,4.5,270,4.5,57,77,6.8,
236,何咯,1992-04-12,5.8,.8,11.4,,,,,6,270,-1.6,25,63.8,11.2,
236,何咯,1992-04-13,5.6,-1.1,13.6,,,,,3.5,230,1.9,42,78.5,11,
236,何咯,1992-04-14,8.3,2.6,16,,,,,4,230,1.8,32,68.5,8,
236,何咯,1992-04-15,7.5,2.2,11.4,3.25,.5,1.5,,6.5,270,1.8,25,71.8,8.6,
236,何咯,1992-04-16,7.5,-.2,14,,,,,4,270,.9,28,71.5,9.6,
236,何咯,1992-04-17,10.6,-.2,20.6,,,,,6,180,3.4,28,66.8,8.3,
236,何咯,1992-04-18,11.9,4.3,16.4,6.78,.5,1,,4,230,8.4,66,79.5,4,
236,何咯,1992-04-19,9,3,17.4,,,,,4,230,2.1,28,67,9.3,
236,何咯,1992-04-20,12,2.7,22.9,,,,,3.5,230,3.7,22,60.8,11.5,
236,何咯,1992-04-21,12.8,4.1,23,1.98,1.5,5,,5,180,9,31,77.5,5.2,
236,何咯,1992-04-22,12.6,5.3,20.1,,,,,4.5,230,4.7,25,63.3,10.2,
236,何咯,1992-04-23,13.6,3.5,21.6,,,,,5.5,200,2.3,26,53,11.5,
236,何咯,1992-04-24,13,6.3,20.9,,,,,6,270,1.6,19,51.3,10.5,
236,何咯,1992-04-25,11.4,2,21,,,,,3.5,270,2.6,28,58.8,11.4,
236,何咯,1992-04-26,12.9,4.1,23.6,,,,,3.5,180,4.1,25,57.3,12.1,
