瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),弥促浅氢(16规困),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),1矫埃 弥促老荤樊(MJ/m2)
236,何咯,2022-01-06,-1.6,-8,6,,,,5.7,3.1,340,-8.4,30,64.5,8.9,
236,何咯,2022-01-07,-3.1,-9.5,5.8,,,,2.8,1.6,140,-8.6,23,70.9,8.9,
236,何咯,2022-01-08,-.9,-9.1,7.2,,,,5.3,3.6,180,-5.2,47,74.4,6.9,
236,何咯,2022-01-09,.7,-4.3,7,,,,3.2,1.8,250,-3.4,41,76.1,6.4,
236,何咯,2022-01-10,.1,-6.6,6.6,,,,3.6,1.9,320,-4.6,42,73.6,3,
236,何咯,2022-01-11,-2.8,-5.7,1,,,,10,5.7,290,-10.4,35,57,8.2,
236,何咯,2022-01-12,-4.8,-10,1.5,,,,6.6,4.2,20,-11.3,36,61.9,8.9,
236,何咯,2022-01-13,-4.4,-8.6,.6,,,,13.9,6.7,320,-10.5,38,64.5,6.8,
236,何咯,2022-01-14,-4.7,-11.5,3.1,,,,4.6,2.2,180,-11.3,24,63.9,9,
236,何咯,2022-01-15,-.5,-7.2,5.9,,,,3.6,2.1,110,-9.4,26,53.3,3.7,
236,何咯,2022-01-16,-.8,-6.9,3.1,,,,8.9,5.9,290,-6.3,39,68.5,8.6,
236,何咯,2022-01-17,-3.2,-8.4,2.2,,,,9.1,4.3,200,-8,49,70.8,4.5,
236,何咯,2022-01-18,-5,-11.5,2.7,,,,5.2,2.5,340,-13.3,24,57,9.1,
236,何咯,2022-01-19,-4,-10.5,3.6,,,,7.4,3.9,290,-8.4,41,72.6,4.8,
236,何咯,2022-01-20,-4.5,-10.4,3,,,,6.3,2.7,340,-10.2,32,67.5,9.2,
236,何咯,2022-01-21,-3,-10.1,5.9,,,,5.4,3.1,20,-10.5,21,61.4,9.3,
236,何咯,2022-01-22,2.7,-4,8.4,,,,2.8,2,270,-4.6,37,60.3,1.1,
236,何咯,2022-01-23,4,-1.7,9.9,,,,4.3,2.7,290,-4.4,36,55.5,1.4,
236,何咯,2022-01-24,5,-2.3,9.6,,,,7.6,4,90,-2.7,44,58.9,3.2,
236,何咯,2022-01-25,2.4,-1.5,5.2,,,,4.2,2.4,20,1.2,54,93,0,
236,何咯,2022-01-26,1,-3.9,7.6,,,,4.3,2.3,180,-2.7,42,78.8,3.9,
236,何咯,2022-01-27,-.1,-5.3,6.5,,,,6.8,3.5,320,-6.9,31,64.6,9,
236,何咯,2022-01-28,-1.4,-6.8,5.2,,,,6.2,3.6,290,-7.8,33,65.4,9,
236,何咯,2022-01-29,-2.2,-7.3,4.3,,,,7.9,4.3,290,-10.2,24,59,9.1,
236,何咯,2022-01-30,-2.7,-8.9,4.8,,,,7,3.6,290,-10.4,26,59.9,9.4,
236,何咯,2022-01-31,-1.7,-9.6,6.5,,,,4.9,2.7,110,-6.7,39,72.1,9.3,
236,何咯,2022-02-01,.2,-4.3,2.7,,,,8,4.4,270,-3.3,55,77.6,2.1,
236,何咯,2022-02-02,-.4,-4.7,3.5,,,,7.7,3.9,320,-7.1,34,62.3,8.2,
236,何咯,2022-02-03,-2.5,-8,4.1,,,,7.7,4.5,320,-10.4,25,59.9,9.5,
236,何咯,2022-02-04,-2.8,-6.6,3,,,,9.4,5.4,290,-7.9,38,68.9,4.6,
236,何咯,2022-02-05,-4,-8.8,.8,,,,10.1,5.8,290,-9.3,42,68.9,6.5,
236,何咯,2022-02-06,-3.3,-9.7,4.1,,,,8.8,5.6,270,-7.9,42,73.1,5.3,
