瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),弥促浅氢(16规困),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),1矫埃 弥促老荤樊(MJ/m2)
236,何咯,1982-04-06,10.3,.8,19.9,,,,,5.5,270,.6,22,59.5,12.1,
236,何咯,1982-04-07,10.1,1.6,20.4,,,,,5.5,90,4.3,30,70.5,11.4,
236,何咯,1982-04-08,8.9,2.2,16.4,,,,,7.5,270,2.8,49,71.5,8.7,
236,何咯,1982-04-09,6.6,2.5,11.8,.97,.5,1.3,,7,270,-.2,39,67.5,12.1,
236,何咯,1982-04-10,6.9,-1.4,15.4,,,,,5.5,180,1.2,35,70,12,
236,何咯,1982-04-11,9.1,-.6,18.4,,,,,4.5,230,.8,30,59.5,10.2,
236,何咯,1982-04-12,10.5,3.6,16.8,,,,,4,230,6.4,54,75.5,10.9,
236,何咯,1982-04-13,11.8,5.5,20.6,.92,.5,.5,,2.5,270,6.8,37,73.8,9.5,
236,何咯,1982-04-14,13.4,5.3,22.2,,,,,5,230,6.6,36,68.3,12,
236,何咯,1982-04-15,8.8,4.8,12.2,.58,0,0,,3.5,320,4.2,40,77.5,4.9,
236,何咯,1982-04-16,7,-1.2,14.2,,,,,6.5,270,.1,29,62.3,12.5,
236,何咯,1982-04-17,8.2,.9,14,,,,,7.5,270,3.3,45,72.5,12.5,
236,何咯,1982-04-18,8.5,-.3,17.1,,,,,5.5,270,3.1,33,71.3,12,
236,何咯,1982-04-19,9.6,.4,18.2,,,,,5.5,200,3.3,32,68.8,11.7,
236,何咯,1982-04-20,10.7,3.4,15.6,,,,,2.5,20,3.8,43,65,4.7,
236,何咯,1982-04-21,15.4,9.5,22.2,,,,,4.5,360,4.4,30,48.3,11.4,
236,何咯,1982-04-22,12.8,4.4,22.2,,,,,5,230,6.7,35,69,12,
236,何咯,1982-04-23,13.7,4.1,23.6,,,,,4.5,90,7.1,34,66.5,11.3,
236,何咯,1982-04-24,15.7,6,26.3,,,,,4.5,230,7.2,25,63.5,12.3,
236,何咯,1982-04-25,16.8,7.2,26.9,,,,,3,270,11.6,39,71,9.8,
236,何咯,1982-04-26,17.4,12.9,21.7,.5,0,0,,3.5,50,11.6,52,71.5,3.8,
236,何咯,1982-04-27,17,13.8,19.8,3.55,1,1.5,,7,360,11.4,60,71,7.6,
236,何咯,1982-04-28,14.1,11.5,17,,,,,3.5,360,12.7,70,85.5,4.6,
236,何咯,1982-04-29,14.7,11.2,20.6,,,,,4.5,230,10.2,52,76.5,11.2,
236,何咯,1982-04-30,14.5,9.8,20.9,,,,,5,140,10.1,57,75.3,10.7,
236,何咯,1982-05-01,12.3,6.8,19.2,,,,,2.5,180,9,48,77,10.3,.82
236,何咯,1982-05-02,14.6,6,24.4,,,,,5,230,10.1,41,72.3,12.9,1.61
236,何咯,1982-05-03,13.5,10.1,19.5,2,1.5,2.5,,5.5,180,11.2,65,83.8,10,1.03
236,何咯,1982-05-04,13.3,8.3,18.1,,,,,7.5,230,8.2,41,71.3,12.7,1.87
236,何咯,1982-05-05,16.8,6.4,28,,,,,6.5,230,12.6,31,75.8,10.6,1.51
236,何咯,1982-05-06,13.6,9.2,20.6,11.07,1.5,4.5,,7.5,320,11.8,81,94.5,4.4,.63
236,何咯,1982-05-07,14.7,8.7,22.9,,,,,4,230,10.8,37,75.8,11.6,1.56
236,何咯,1982-05-08,15.9,6.2,24,,,,,6,270,13.1,45,78,11.3,1.39
236,何咯,1982-05-09,19.5,16.2,24,,,,,4,230,17.4,69,86,7.8,.85
236,何咯,1982-05-10,21.3,15.7,30.4,,,,,2.5,230,17.8,45,79.8,9.3,1.36
236,何咯,1982-05-11,21.7,15.9,28,,,,,3.5,90,18.8,60,81.3,9.6,.9
236,何咯,1982-05-12,24.4,20.5,29.2,1.6,1,1.7,,4.5,140,21,63,80.5,7.4,1.07
236,何咯,1982-05-13,16.8,11,23.6,10.08,2,8,,8,230,13.2,86,91.3,.4,.17
236,何咯,1982-05-14,15,9.3,22,,,,,4,270,7.2,28,66,12.7,1.58
236,何咯,1982-05-15,15.6,8.1,21.9,,,,,5.5,230,11.7,48,76.3,11.7,1.58
236,何咯,1982-05-16,15.9,10.8,21,,,,,6.5,140,9,34,61.8,12.7,1.53
236,何咯,1982-05-17,16,6.3,24,,,,,5.5,230,11.9,42,73,12.2,1.48
236,何咯,1982-05-18,18.7,13,24,,,,,5,230,14.3,54,76,11.4,.72
236,何咯,1982-05-19,15.6,11,20.5,1.52,1.5,5.5,,6.5,320,13.8,59,87,6.2,.7
236,何咯,1982-05-20,14.2,9.1,20.2,,,,,5.5,290,10.5,53,77.8,12.4,1.6
236,何咯,1982-05-21,17,9.9,25.7,,,,,2,140,11.5,32,72.5,11.2,1.51
236,何咯,1982-05-22,19.4,11.9,27.3,,,,,5,230,12.9,41,67.8,13,1.55
236,何咯,1982-05-23,19.1,12,25.8,,,,,5,230,11.8,43,66.5,12.1,1.49
236,何咯,1982-05-24,20,10.6,27.4,,,,,6.5,180,16.1,51,73.8,12.6,1.53
236,何咯,1982-05-25,19.4,16.9,22.8,.88,0,0,,5,180,17.1,68,86.3,3.2,.41
236,何咯,1982-05-26,20.3,15.5,26.8,,,,,5,230,16.8,61,80,7.1,1.07
236,何咯,1982-05-27,21.8,16.1,26.9,,,,,5,230,18.1,58,78.3,12.8,1.39
236,何咯,1982-05-28,21.6,15.2,28.1,,,,,4.5,230,18.7,58,81.8,12.3,1.53
236,何咯,1982-05-29,24.5,18.2,32.1,,,,,4,320,18.6,42,71,12.2,1.58
236,何咯,1982-05-30,22.6,20,26.2,10.07,3.5,10,,4,50,19.9,70,86.3,5.5,1.26
236,何咯,1982-05-31,18.3,15.4,20.6,20.82,1.5,5.5,,2.5,320,17.2,91,94.3,0,.39
236,何咯,1982-06-01,16.6,13.5,20.6,7.58,.5,1,,4,360,14.6,71,87.5,7.2,1.21
236,何咯,1982-06-02,16,11.6,20.8,,,,,5.5,230,12.7,54,80.8,8.8,1.61
236,何咯,1982-06-03,17.7,10.3,25.5,,,,,4,270,13.7,52,74.5,13.5,1.75
236,何咯,1982-06-04,19.1,13.4,25.2,,,,,4,180,16.4,61,81,11.6,1.73
236,何咯,1982-06-05,22.3,16,30.7,,,,,3,320,16.7,38,74.8,12.1,1.73
236,何咯,1982-06-06,20.5,16.9,28,,,,,4.5,180,16.6,54,79.8,9.6,1.76
236,何咯,1982-06-07,21.6,17.2,28.8,,,,,3.5,180,17.5,39,77.5,12.3,1.6
236,何咯,1982-06-08,21.3,15.5,30.2,,,,,3.5,230,16.9,41,76.8,10.1,1.61
236,何咯,1982-06-09,22.2,15.1,30.3,,,,,4,230,16.5,40,72,13.4,1.65
236,何咯,1982-06-10,21.7,17.1,29.5,,,,,5.5,270,17.2,44,76,11.1,1.56
236,何咯,1982-06-11,22.1,14.3,30.6,,,,,4,270,16.2,38,70,13.3,1.63
236,何咯,1982-06-12,22.1,14.4,29.3,,,,,2,140,17.9,44,76.5,11,1.16
236,何咯,1982-06-13,20.2,17.9,23,5.03,1.5,3.9,,4.5,50,16.1,64,80.5,1.9,.44
236,何咯,1982-06-14,22.3,17.7,28.2,,,,,2.5,320,17.1,48,71.3,13,1.55
236,何咯,1982-06-15,20.7,14.8,27.6,,,,,3.5,230,16.9,49,77.3,12.4,1.67
236,何咯,1982-06-16,22.1,15.1,29.1,,,,,2.5,180,15.3,45,67,12.7,1.59
236,何咯,1982-06-17,21.5,13.2,30.5,,,,,3,340,14.9,29,68.3,12.9,1.63
236,何咯,1982-06-18,22.5,16,29.7,1.7,0,0,,4,270,17.4,42,75.5,9.7,1.72
236,何咯,1982-06-19,23.9,18.7,29.4,,,,,2.5,230,18.1,42,73.3,10.7,1.72
236,何咯,1982-06-20,24,19.4,30.1,,,,,4,180,19.7,54,77,12.3,1.58
236,何咯,1982-06-21,24.2,18.8,29.1,,,,,5.5,180,20.5,62,79,11.5,1.53
236,何咯,1982-06-22,25.6,21.2,32,.1,0,0,,4,360,20.3,45,73.8,10.4,1.68
236,何咯,1982-06-23,25.2,18.5,32.4,.73,1,1.9,,5,320,19.2,41,71.8,12.3,1.89
236,何咯,1982-06-24,21.2,14,28,,,,,4,180,18.1,52,80,11.7,1.75
236,何咯,1982-06-25,22.5,17.5,28.2,.13,0,0,,4,180,18.4,59,77,12.2,1.7
236,何咯,1982-06-26,23.6,17.4,29.9,,,,,3.5,360,15.2,40,63.5,13.4,1.98
236,何咯,1982-06-27,21.9,16.8,27.8,,,,,4.5,230,18,58,75.8,12.9,1.8
236,何咯,1982-06-28,22.9,17.4,29.8,,,,,5.5,270,17.3,44,72.8,12,1.73
236,何咯,1982-06-29,23.9,18.1,30.6,,,,,3.5,50,18.6,45,73.5,10.6,1.39
236,何咯,1982-06-30,23.3,18.7,29.8,1.3,1,1.5,,2.5,180,19,56,78.3,10.1,1.58
236,何咯,1982-07-01,23.3,17.8,31.2,.1,0,0,,4.5,270,18.8,46,76.8,12,1.82
236,何咯,1982-07-02,23.2,16,30.9,,,,,4,230,18.5,48,77,13.1,1.75
236,何咯,1982-07-03,24.5,17.3,33,,,,,4.5,320,18.1,41,70.5,12,1.73
236,何咯,1982-07-04,24.1,20.2,29,,,,,3.5,230,19.7,58,77.3,10.9,1.58
236,何咯,1982-07-05,25.5,20.6,32.3,,,,,2.5,180,19.5,45,73,9.4,1.68
236,何咯,1982-07-06,25.4,18.9,33.3,,,,,3,230,19,46,70.3,11.5,1.58
236,何咯,1982-07-07,26.6,20.2,33,2.25,1.5,3.5,,6,230,21.7,53,76,11.1,1.61
236,何咯,1982-07-08,24.1,19.4,31.7,,,,,5,180,21.1,60,84,11.6,1.72
236,何咯,1982-07-09,25.5,18.7,33.9,,,,,4.5,230,20.9,48,77,12.4,1.67
236,何咯,1982-07-10,26.4,20.4,31.6,.2,0,0,,4.5,140,22.9,69,81,11.4,1.34
236,何咯,1982-07-11,24.7,20.3,29.1,6.95,1,3,,5.5,230,22.9,70,90,7,1.33
236,何咯,1982-07-12,23.9,20.2,29.3,3.1,.5,.5,,2,160,21.4,67,87.3,5.9,1.28
236,何咯,1982-07-13,22.3,20.5,24.7,2.45,.5,.5,,3,140,21.1,80,92.8,.7,.53
236,何咯,1982-07-14,23.5,20.4,29.1,4.93,1,1.5,,4,360,20.7,65,85,9.2,1.41
236,何咯,1982-07-15,25.3,21.3,29.3,1.17,1,1,,3.5,90,21.9,66,82.5,10.4,1.39
236,何咯,1982-07-16,24.4,18.9,30.9,7.92,1.5,5.5,,5.5,50,21.3,55,85,10.3,1.63
236,何咯,1982-07-17,23.2,17.4,30.2,,,,,3.5,360,18.4,47,79.3,10.9,1.7
236,何咯,1982-07-18,22.8,17.8,30.1,,,,,4.5,230,20.1,58,85.8,9.4,1.63
236,何咯,1982-07-19,23.9,18.3,30.7,,,,,4,180,20.2,62,81.5,9.2,1.24
236,何咯,1982-07-20,24.3,17.9,32,,,,,4.5,50,20.4,50,81,12.1,1.39
236,何咯,1982-07-21,24.5,19.3,33.7,,,,,3.5,90,20.6,42,82,10.7,1.49
236,何咯,1982-07-22,24.9,20.2,30.4,,,,,4,230,21.1,59,80.8,10.7,1.56
236,何咯,1982-07-23,23.2,21.1,26,7.08,1,2,,4,50,20.3,71,84,5.6,.51
236,何咯,1982-07-24,25.2,22.2,28.1,,,,,3.5,50,20.1,64,74,6.2,.66
236,何咯,1982-07-25,23.9,22.7,25.2,12.25,2,5.5,,3,360,22.5,77,91.3,1.2,.58
236,何咯,1982-07-26,25.9,22.5,30.5,,,,,4.5,180,23.3,69,86.5,10.9,1.63
236,何咯,1982-07-27,26.3,22.3,30.6,,,,,4.5,140,23.3,72,84,9.9,1.46
236,何咯,1982-07-28,25.2,20.5,30.3,6.32,9.5,33.5,,5,360,23.2,74,89.3,10,1
236,何咯,1982-07-29,23.2,20.2,27.2,6.5,7.5,12.5,,3,140,21.2,70,88.8,8.3,1.36
236,何咯,1982-07-30,25.7,21.2,32.7,2.75,8,22,,3,320,22.6,60,84.8,9.2,1.73
236,何咯,1982-07-31,27.4,22.9,33.9,,,,,2.5,320,23.6,53,82,10.5,1.51
236,何咯,1982-08-01,25.1,20.5,29.7,,,,,4,50,21.3,58,80.8,12.8,1.48
236,何咯,1982-08-02,24.6,19.3,30.2,,,,,2.5,360,19.9,55,76.3,12.2,1.41
236,何咯,1982-08-03,25,19,31.7,,,,,4,180,21.7,63,82.8,12.7,1.53
236,何咯,1982-08-04,25.8,20.6,33.3,,,,,2.5,230,22.5,56,83.3,10.6,1.55
236,何咯,1982-08-05,26.6,23.1,31.3,1.92,6,8,,3.5,180,25,79,91.3,5.8,.75
236,何咯,1982-08-06,27.4,25.6,30.8,.4,0,.3,,5.5,140,25.3,75,88.8,8.4,1.29
236,何咯,1982-08-07,27.5,22.7,32.5,,,,,3,230,24,62,81.8,11.5,1.7
236,何咯,1982-08-08,28.9,22.5,35,,,,,3.5,230,24.7,56,79.5,12.5,1.65
236,何咯,1982-08-09,27.9,22,35.7,3,9.5,29.5,,8.5,50,23.7,53,80.5,11.2,1.6
236,何咯,1982-08-10,26.6,21.7,33.7,,,,,3,270,23.7,63,85,11.4,1.43
236,何咯,1982-08-11,27.4,22.1,35.6,1.55,1,1.9,,8,320,23.5,52,81.3,11.2,1.7
236,何咯,1982-08-12,27,21.6,32.3,,,,,4,50,22.7,59,77.5,12.3,1.61
236,何咯,1982-08-13,24.7,23.9,26.5,16.37,1.5,6,,7,50,23.1,81,91.3,.9,.35
236,何咯,1982-08-14,26.6,23.9,28.2,4.8,1.5,3,,7.5,140,24.8,87,90,2.3,.61
236,何咯,1982-08-15,25.3,24.4,27.2,13.07,4,8.5,,7.5,180,24.3,91,94.5,0,.22
236,何咯,1982-08-16,25.6,23.7,29,1.08,.5,.8,,4.5,230,23.8,78,90.3,7.4,1.58
236,何咯,1982-08-17,26.3,23.5,31.9,,,,,2,140,23.9,66,87.5,9.9,1.22
236,何咯,1982-08-18,25.7,22.4,32,,,,,3,140,23.4,66,88,9.1,1.61
236,何咯,1982-08-19,26.2,21.9,31.4,,,,,3.5,230,23.5,67,85.5,10.9,1.37
236,何咯,1982-08-20,24.5,23.2,27.5,8.63,16.5,42.5,,4,90,23.6,88,94.5,2.4,.54
236,何咯,1982-08-21,24.7,22.9,29,4.15,8.5,18,,3,270,22.3,63,87.5,6.1,1.04
236,何咯,1982-08-22,24.1,21.4,28.3,1.02,.5,.5,,1.5,360,21.7,70,88.3,6.6,.9
236,何咯,1982-08-23,22.6,19.4,26.3,6.7,3.5,11,,2,50,20.6,74,89,6.7,.85
236,何咯,1982-08-24,22.1,19.2,27.8,3.52,.5,.7,,3.5,360,19.7,70,87.3,7.9,1
236,何咯,1982-08-25,22,20.1,24.4,9.43,1,2.5,,3.5,360,20.7,81,92,2.1,.45
236,何咯,1982-08-26,25.4,22.1,29.1,,,,,2.5,360,23,76,87,7.5,1.03
236,何咯,1982-08-27,24.2,21.2,26.4,.13,0,0,,3.5,320,22,80,88,3.5,.53
236,何咯,1982-08-28,21.8,20.4,25.6,1.87,.5,.8,,5,230,20.5,72,92.5,7.5,1
236,何咯,1982-08-29,23.5,18.4,28.8,,,,,4.5,250,18.3,52,80,11.5,1.75
236,何咯,1982-08-30,23.1,17.8,30.4,,,,,3.5,360,20.5,56,86.3,11.8,1.77
236,何咯,1982-08-31,23,17.6,30.6,,,,,2.5,270,19.2,50,83.3,9.7,1.6
236,何咯,1982-09-01,23.4,16.6,31.6,,,,,2,320,19.7,44,81.8,12,1.68
236,何咯,1982-09-02,23.9,18.9,31,,,,,2.5,360,19.6,53,79,8.9,1.63
236,何咯,1982-09-03,23.7,19.3,28.3,,,,,4,360,17.7,49,70.3,10.8,1.37
236,何咯,1982-09-04,19.9,16.2,24.8,,,,,3.5,340,16,58,78.8,8.8,1.51
236,何咯,1982-09-05,18.9,15,24.6,,,,,3,360,15.7,60,82.3,5.7,1.1
236,何咯,1982-09-06,21.2,14.2,28,,,,,5,270,16.3,40,77.5,11.7,1.41
236,何咯,1982-09-07,18.4,12.5,27.3,,,,,3,180,14.8,49,83,10.6,1.49
236,何咯,1982-09-08,19.9,15,27.3,,,,,2,140,16.6,55,83.8,7.3,1.36
236,何咯,1982-09-09,19.2,16,25.9,,,,,2,50,16.8,59,87,8.1,.98
236,何咯,1982-09-10,18.7,12.5,27.6,,,,,4.5,270,14.8,48,81,10.3,1.49
236,何咯,1982-09-11,17.6,9.2,26,,,,,4,320,11.4,33,71.5,11.9,1.53
236,何咯,1982-09-12,17.9,9.9,28,,,,,3,320,12.2,33,73,11.8,1.48
236,何咯,1982-09-13,18.9,9.4,29.2,,,,,2.5,230,14.8,53,79.3,10.7,1.41
236,何咯,1982-09-14,19.9,12.8,28.5,,,,,2.5,230,16.6,55,83.3,11,1.12
236,何咯,1982-09-15,21.8,15.5,29.6,,,,,2,320,17.1,48,77.3,10.3,1.39
236,何咯,1982-09-16,20.1,13.2,30.2,,,,,3.5,270,15.4,37,79.3,10.8,1.37
236,何咯,1982-09-17,19.9,12.6,28.8,,,,,2,320,14.8,39,77,10,1.33
236,何咯,1982-09-18,19.7,14.8,25.1,,,,,3,50,16.1,54,81.5,6.3,1.16
236,何咯,1982-09-19,19.9,17.2,24.2,.93,.5,.9,,3,360,17.4,65,86.3,7.9,.9
236,何咯,1982-09-20,21.3,15.9,27.7,.57,1,1.7,,4,270,17.9,51,83.3,9.9,1.39
236,何咯,1982-09-21,17.3,9.8,25.2,,,,,3.5,270,10.7,41,68,10.6,1.36
236,何咯,1982-09-22,15.9,7.5,26.5,,,,,3.5,230,11.3,42,77.3,11,1.28
236,何咯,1982-09-23,18.7,11.7,26.2,,,,,3.5,50,13.1,44,72.8,11.4,1.31
