瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),弥促浅氢(16规困),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),1矫埃 弥促老荤樊(MJ/m2)
236,何咯,1982-01-02,-1.8,-7.5,6.5,,,,,2.5,110,-4.3,49,82.5,8.3,
236,何咯,1982-01-03,0,-4.6,4.9,2.83,,,,3.5,230,-1.4,64,86,4.4,
236,何咯,1982-01-04,3.4,1,6.9,9.37,,,,4,320,2,65,90,1.1,
236,何咯,1982-01-05,-.3,-4.4,5.8,,,,,3,230,-3,56,82.5,8.5,
236,何咯,1982-01-06,-1,-6.2,4.9,,,,,4,320,-2.5,59,86.5,8.5,
236,何咯,1982-01-07,-1.6,-5.3,2.8,,,,,4.5,360,-5.7,49,75,8.8,
236,何咯,1982-01-08,-1.9,-6,1.1,1.63,,,,2,250,-1.7,87,93,.6,
236,何咯,1982-01-09,1.4,-3.6,7.8,,,,,4,270,-2.9,42,79.3,7.1,
236,何咯,1982-01-10,-.7,-6.3,7.5,,,,,2,140,-4,41,80.5,8.9,
236,何咯,1982-01-11,2.8,-3.2,9.8,,,,,6,270,2.5,79,90.3,.6,
236,何咯,1982-01-12,-5.3,-8.8,.6,,,,,6,270,-10.3,51,66.3,8.9,
236,何咯,1982-01-13,-6.7,-10,-2.8,2.67,,,,5,340,-8.8,63,82.3,7.7,
236,何咯,1982-01-14,-5.9,-11.3,-.2,,,,,3,360,-9.8,52,73.3,9,
236,何咯,1982-01-15,-3.5,-6.1,-.2,.68,,,,4,320,-7,59,78.8,7.1,
236,何咯,1982-01-16,-5.2,-9,-1.9,,,,,6,320,-9.7,60,76.8,7.6,
236,何咯,1982-01-17,-5.9,-12.2,.7,,,,,2.5,140,-8.8,51,79,8.9,
236,何咯,1982-01-18,-4.4,-6.5,-1.9,9.82,,,,5.5,320,-7.4,73,86,5.9,
236,何咯,1982-01-19,-7.3,-12.4,-2.8,,,,,4.5,320,-10.2,65,84.3,9.2,
236,何咯,1982-01-20,-8.8,-17,1.9,,,,,2,110,-11.4,50,81,9.2,
236,何咯,1982-01-21,-3.5,-12.2,6.4,,,,,3.5,160,-3.8,65,85.5,8.5,
236,何咯,1982-01-22,1.4,-.5,5.7,4.15,,,,2,320,.4,79,91.3,3.4,
236,何咯,1982-01-23,-1.4,-5.2,4.8,,,,,3,180,-3.3,45,86,5.5,
236,何咯,1982-01-24,1.9,-.8,7.8,,,,,4.5,270,-1.3,54,81.5,7.1,
236,何咯,1982-01-25,-.5,-4.6,6.2,,,,,2.5,320,-4.5,45,75.3,9,
236,何咯,1982-01-26,-.4,-5.3,5.1,,,,,4,270,-2.6,63,84.3,7.1,
236,何咯,1982-01-27,-2.2,-5.8,-.4,,,,,7,270,-7.9,57,69.8,8.1,
236,何咯,1982-01-28,-7,-9.7,-5,,,,,8,270,-12.2,55,63.3,9.2,
236,何咯,1982-01-29,-7.7,-12.6,-2.4,,,,,5,320,-11.9,51,67.8,9.5,
236,何咯,1982-01-30,-6.6,-13,1.8,,,,,4,140,-8.2,53,82,9.3,
236,何咯,1982-01-31,-4.3,-6.9,-.5,2.1,,,,2,250,-5.3,70,90.3,3.5,
236,何咯,1982-02-01,-3.1,-8.4,1.2,,,,,6,270,-9.2,42,75,9.4,
236,何咯,1982-02-02,-3.6,-10.8,4.2,,,,,3,140,-6.8,42,78.8,9.6,
236,何咯,1982-02-03,-.4,-3.1,3.8,2.22,,,,2,140,-2.2,65,84.8,4.5,
236,何咯,1982-02-04,.5,-3,4.7,9.02,,,,3.5,320,-2.5,63,82.5,7.9,
236,何咯,1982-02-05,-3.3,-7.5,1.6,,,,,6,270,-7,42,73.5,9.5,
236,何咯,1982-02-06,-4.5,-8.2,-1,.63,,,,7.5,320,-9.5,41,69,9.6,
236,何咯,1982-02-07,-6,-11.6,-.8,,,,,4.5,320,-12,44,65.8,9.5,
236,何咯,1982-02-08,-4.5,-11.2,1.9,,,,,5,270,-11.7,41,61.3,9.7,
236,何咯,1982-02-09,-3,-9,5.1,.43,,,,7,270,-6,48,77.5,7.9,
236,何咯,1982-02-10,-2.9,-9.8,4.4,,,,,4,270,-7.5,39,74,9.8,
236,何咯,1982-02-11,-3.1,-9.7,3.9,,,,,2.5,320,-6.1,45,80,7.8,
236,何咯,1982-02-12,-.6,-6.8,8,,,,,3.5,230,-3.1,55,81.5,9.7,
236,何咯,1982-02-13,-.8,-7,8.1,,,,,3.5,360,-6.1,35,72.3,8.8,
236,何咯,1982-02-14,.9,-3.5,9.3,,,,,5,360,-4.4,41,70.8,9.9,
236,何咯,1982-02-15,.2,-7.3,11.9,,,,,3.5,180,-3.5,46,80,9.9,
236,何咯,1982-02-16,-.3,-6,9.9,,,,,2.5,50,-5.9,25,77,9.9,
236,何咯,1982-02-17,1.9,-3.5,11.4,,,,,5,270,-2.1,40,75.3,8.4,
236,何咯,1982-02-18,3,-6,12.2,,,,,4.5,360,-1.6,42,76.5,8.4,
236,何咯,1982-02-19,4.6,2.6,6.5,16.1,,,,4,360,4.5,71,95.5,0,
236,何咯,1982-02-20,6.8,3.4,13.4,,,,,3,270,3.8,54,82.5,9.7,
236,何咯,1982-02-21,4.6,-1.8,10.9,,,,,5,270,.5,47,79,8.2,
236,何咯,1982-02-22,2.7,-3,11.8,,,,,3.5,180,1.4,57,85,7.2,
236,何咯,1982-02-23,6.3,.8,12.7,,,,,5,360,-.4,32,68.8,6.2,
236,何咯,1982-02-24,6.2,-.1,11,.92,,,,4.5,360,2.7,62,80,7.1,
236,何咯,1982-02-25,2.3,-4.2,9.9,,,,,5.5,320,-3.7,33,70.5,10.6,
236,何咯,1982-02-26,.5,-5.3,10.1,,,,,3.5,140,-4.3,30,76,10.3,
236,何咯,1982-02-27,2.1,-4.6,12.3,,,,,4,180,-1.4,38,77.8,10,
236,何咯,1982-02-28,4.5,-2.4,12.8,,,,,5,320,-1.3,31,71.3,8.7,
236,何咯,1982-03-01,3.6,-1.8,8.8,2.92,,,,7,270,-1.8,42,72.3,8,
236,何咯,1982-03-02,1.1,-5.1,8.8,,,,,5,270,-3.6,32,76,10.7,
236,何咯,1982-03-03,2.2,-5,10.9,,,,,4,230,-2.4,34,75,10.1,
236,何咯,1982-03-04,2.5,-.8,5.4,16.47,,,,7,320,2.7,83,94.8,0,
236,何咯,1982-03-05,5.7,-.1,11,3.33,,,,5.5,270,-2,33,69.5,8.4,
236,何咯,1982-03-06,.6,-1.6,4.8,,,,,7.5,320,-8.1,33,53.5,10.8,
236,何咯,1982-03-07,-.8,-5.8,4.4,,,,,6.5,270,-6.6,36,65.3,10.9,
236,何咯,1982-03-08,.8,-5.4,7.9,,,,,4.5,180,-3,45,77,10.8,
236,何咯,1982-03-09,4.6,-1.6,11.8,,,,,5,180,-2.3,27,69.8,10.7,
236,何咯,1982-03-10,5.5,-1.3,12.3,,,,,7,180,3,58,79.8,10.6,
236,何咯,1982-03-11,6.8,-.8,17.6,,,,,3,230,3.5,42,79.3,10.7,
236,何咯,1982-03-12,10.5,5,18.9,,,,,5,360,3.4,36,66.5,9.3,
236,何咯,1982-03-13,7.4,-1,18.3,,,,,4,90,3.9,41,77.8,11,
236,何咯,1982-03-14,8.7,.5,17.2,3.47,,,,3,270,4.3,38,75,8.3,
236,何咯,1982-03-15,9.4,4.8,13.7,10.38,,,,5.5,320,6.1,60,84,6.3,
236,何咯,1982-03-16,5.2,2.1,9,,,,,5,270,.4,45,75,6.8,
236,何咯,1982-03-17,3.8,.3,7.6,,,,,3,320,.3,61,75.3,3.7,
236,何咯,1982-03-18,4.6,-2.7,13.8,,,,,3,320,-1.4,31,70,10.8,
236,何咯,1982-03-19,7.2,1.4,11.8,,,,,5,340,1.6,55,61.5,3.6,
236,何咯,1982-03-20,9.8,1.5,17.6,,,,,4.5,270,4.5,43,71.5,10.4,
236,何咯,1982-03-21,8.6,2.5,15,,,,,4.5,180,3.3,42,74.8,11.1,
236,何咯,1982-03-22,8.1,-.8,18.4,,,,,4,230,5,46,77.5,11.3,
236,何咯,1982-03-23,9.6,4.6,15.6,2.12,,,,6,270,5.4,51,77.3,7.5,
236,何咯,1982-03-24,4.4,.7,8.7,,,,,5.5,270,-5.5,36,48.5,11.3,
236,何咯,1982-03-25,4.3,-2.7,10.3,,,,,6.5,320,-3,31,48,11.3,
236,何咯,1982-03-26,3.7,-4.7,12.4,,,,,4,320,-3.1,26,62,11.3,
236,何咯,1982-03-27,6.1,-3.6,15.3,,,,,4.5,270,-3.1,25,55.5,11.6,
236,何咯,1982-03-28,7.8,-.4,15.5,,,,,3.5,360,2.1,40,69.3,11.6,
236,何咯,1982-03-29,7.8,-1.4,17.6,,,,,4.5,180,2.3,35,70,11.6,
236,何咯,1982-03-30,5.9,4.4,7.2,9.83,,,,4.5,270,4.8,84,90.8,0,
236,何咯,1982-03-31,7.9,1.2,16.7,,,,,3.5,180,6.7,60,86.5,11.3,
236,何咯,1982-04-01,10.2,1.2,21.3,,,,,4,230,6,32,77.5,10.8,
236,何咯,1982-04-02,8.3,4.4,11.4,14,1.5,5,,4,270,8,91,94.5,0,
236,何咯,1982-04-03,11.2,6.3,15,,,,,4.5,360,3.4,48,67.3,8.8,
236,何咯,1982-04-04,9.5,3.8,16.2,,,,,5.5,360,.5,30,58.3,10.8,
236,何咯,1982-04-05,10.6,4,19.3,,,,,5,270,2.1,30,61,10,
