지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
235,보령,2002-01-04,6.1,.1,10.6,,,,9,4.9,230,1.3,55,71.5,7,
235,보령,2002-01-05,.5,-5.1,6.8,,,,13.1,5.7,340,-6.4,43,59.4,8.3,
235,보령,2002-01-06,-.6,-6.5,5,,,,8,3.7,50,-6.7,36,66.4,8.2,
235,보령,2002-01-07,.7,-2.7,7.3,,,,19.2,12,290,-2.9,38,77.3,2.1,
235,보령,2002-01-08,-2.3,-3.7,-.6,,,,13.6,5.7,340,-6.5,61,75.1,1.4,
235,보령,2002-01-09,-.7,-5.9,4,,,,6,3.4,50,-5.4,48,72,8.5,
235,보령,2002-01-10,6.7,1,10.8,,,,11.6,8.2,180,3.9,67,82.4,5.3,
235,보령,2002-01-11,4.5,.2,10.3,,,,11.9,4,50,1.4,42,81.5,7.3,
235,보령,2002-01-12,7.8,.5,13.3,,,,6.5,5,180,2.9,59,71.8,5.2,
235,보령,2002-01-13,11.5,6.8,16.1,,,,10.6,5.1,50,2.8,37,57,1.9,
235,보령,2002-01-14,15.2,12.5,17.8,,,,10.1,6.4,140,8.9,52,66.4,1.5,
235,보령,2002-01-15,12.5,9.8,16.7,,,,13.8,9,180,11.9,75,96.8,0,
235,보령,2002-01-16,7.1,5.4,12.1,,,,9,5.4,320,6.6,92,96.9,0,
235,보령,2002-01-17,3.6,.1,6.5,,,,12.1,3.9,290,1.5,71,86.3,2,
235,보령,2002-01-18,2.3,-1,6.8,,,,6.5,4.4,50,.2,64,86.6,7.1,
235,보령,2002-01-19,4.2,.1,9.8,,,,4.5,2.4,50,1.8,64,84.5,6,
235,보령,2002-01-20,3.3,1.3,5.6,,,,6,3.2,50,2.2,84,92.6,0,
235,보령,2002-01-21,1.7,.2,6,,,,14.1,6,290,-1.5,57,80.5,2.5,
235,보령,2002-01-22,-.4,-1.8,1.5,,,,13.5,5.5,320,-5.2,54,69.4,3.5,
235,보령,2002-01-23,-.5,-2.5,2,,,,10.5,4.8,320,-6.3,57,65.1,4.1,
235,보령,2002-01-24,-1.2,-5.3,3.9,,,,7.8,4,50,-6.7,41,67.6,8.7,
235,보령,2002-01-25,-.8,-6.1,5,,,,6.8,4.4,50,-7.5,32,61.6,8.7,
235,보령,2002-01-26,1.8,.1,4.5,,,,9,5.2,360,-1.8,56,77.5,0,
235,보령,2002-01-27,1,-.8,3.5,,,,10.1,4.9,320,-2.6,59,75.8,1.7,
235,보령,2002-01-28,.4,-1.2,3.2,,,,11.5,5.1,320,-5.7,44,61.8,7.5,
235,보령,2002-01-29,.1,-5,4.5,,,,8.8,3.8,360,-5.9,47,64.9,8.5,
235,보령,2002-01-30,1.8,-1.7,5,,,,10.1,5.7,320,-5.7,36,55.9,8.4,
235,보령,2002-01-31,-1.3,-5.1,4,,,,7.9,3.6,50,-8.3,40,59.6,9,
235,보령,2002-02-01,.7,-5.1,6.5,,,,9,6,180,-4.6,56,68.6,7.6,
235,보령,2002-02-02,2.9,-1.7,9.6,,,,5.5,3.4,200,-.2,37,81.4,7.5,
235,보령,2002-02-03,2.4,-3,9.8,,,,6.5,3.4,50,-3.1,46,68.3,8.8,
235,보령,2002-02-04,3.4,-1.2,8.5,,,,4.9,3.3,50,-2.3,51,66.9,.8,
235,보령,2002-02-05,3.3,-.6,10.1,,,,7,3.1,50,-2.5,30,67.4,8.9,
235,보령,2002-02-06,5.4,-.8,9.3,,,,10,7.2,180,2.9,71,84.3,5.8,
235,보령,2002-02-07,2.7,-1.8,9,,,,7.3,3.7,50,-2.1,35,73.6,8.8,
235,보령,2002-02-08,1.7,-3.2,6.8,,,,11.6,6.6,180,-2.8,51,72.5,.1,
235,보령,2002-02-09,-.7,-3.2,2.5,,,,10.6,7.3,360,-12,30,41.3,8.7,
235,보령,2002-02-10,.6,-3.7,5,,,,9.6,4.1,320,-3.1,56,77.3,3.5,
235,보령,2002-02-11,-.4,-4.9,5.9,,,,16.1,7.8,320,-6.6,42,63.5,7.2,
235,보령,2002-02-12,-.2,-5.6,4.8,,,,5.9,3.3,50,-7.2,43,60.4,9.4,
235,보령,2002-02-13,.6,-3.7,5.5,,,,10.3,5.5,50,-6.7,40,58.4,9.3,
235,보령,2002-02-14,.4,-5.3,6.1,,,,10,5,290,-7.7,31,56.6,9.5,
235,보령,2002-02-15,1,-4,7.4,,,,5.8,3.5,50,-4.1,41,71.6,9.5,
235,보령,2002-02-16,2.5,-1.8,8.3,,,,5.3,3.8,50,-.6,59,80.8,7.3,
235,보령,2002-02-17,3.1,-.4,7.5,,,,11.6,6.2,50,-.3,61,77.6,1.2,
235,보령,2002-02-18,-.2,-2.7,3,,,,14.6,6.2,320,-7.5,40,57.3,9.7,
235,보령,2002-02-19,-.3,-3.2,4.1,,,,10.1,4.7,290,-8.6,36,53.8,9.6,
235,보령,2002-02-20,1.1,-4.1,7.4,,,,6.3,4.4,50,-3.1,59,74.9,9.7,
235,보령,2002-02-21,2.6,-2.4,7,,,,4.3,2.9,50,.6,67,86.8,0,
235,보령,2002-02-22,3,-.6,7.5,,,,5.4,3.6,290,1.1,63,89.1,3,
235,보령,2002-02-23,3,-1.5,8.8,,,,9.8,5.5,290,-3,37,66.9,8.4,
235,보령,2002-02-24,2.4,-2.4,8.6,,,,6,4.3,50,-3,46,69.5,9.9,
235,보령,2002-02-25,3.2,-1.3,8.1,,,,4.4,3.2,50,-.2,63,79.3,2.2,
235,보령,2002-02-26,4.1,-.1,11.3,,,,4.4,3.4,50,1.1,43,81.8,6.8,
235,보령,2002-02-27,5,-.2,9.8,,,,4.4,3.3,50,2,51,81.9,4,
235,보령,2002-02-28,5.6,1.8,11.1,,,,7,4.3,50,3.5,64,87.5,8.3,
235,보령,2002-03-01,3.9,-1.1,11.3,,,,5.5,4,20,1.1,55,83.6,7.7,
235,보령,2002-03-02,6,-.4,13.8,,,,8.1,4.6,20,-.6,40,64,6.5,
235,보령,2002-03-03,2.6,-1,8.1,,,,6.8,3.9,50,-2.7,40,68.8,9.9,
235,보령,2002-03-04,3.9,-2.5,9.8,,,,8,3.9,50,-4.3,35,58.1,7.5,
235,보령,2002-03-05,3.7,2.2,5,,,,6.9,4.4,340,1.5,42,86.3,0,
235,보령,2002-03-06,3.4,1.7,5.6,,,,14,5.6,290,-1.4,46,70.9,2.3,
235,보령,2002-03-07,1.7,-1.5,6.5,,,,10,4.1,290,-5.7,39,58.6,10.5,
235,보령,2002-03-08,3.1,-2.9,9.8,,,,5,2.9,50,-2.4,45,68.6,10.5,
235,보령,2002-03-09,9.8,-.5,14.6,,,,13.6,9.7,180,5.2,59,73.5,8.7,
235,보령,2002-03-10,7.5,.8,12.6,,,,13.3,9.2,290,3,34,74.9,6.3,
235,보령,2002-03-11,4.5,-1.5,10.5,,,,9.3,6.3,200,.5,52,76,10.4,
235,보령,2002-03-12,6.3,0,13,,,,6,4.8,200,.5,42,68,10.3,
235,보령,2002-03-13,9.3,1.5,16.7,,,,7.3,5,50,.7,25,57.8,9.7,
235,보령,2002-03-14,9.6,6,12.3,,,,7.5,4.8,50,5.7,52,78.3,0,
235,보령,2002-03-15,6.8,1.7,10.6,,,,10.6,5.1,270,4,61,83.4,5.9,
235,보령,2002-03-16,7,.5,12.5,,,,8.3,5.9,50,.2,35,63.8,10.4,
235,보령,2002-03-17,8.6,3.5,13.6,,,,7.4,4.6,200,4.3,49,75.3,9.1,
235,보령,2002-03-18,6.6,.6,12,,,,12.1,4.5,230,1.9,48,73.3,10.4,
235,보령,2002-03-19,8.3,4.5,12.6,,,,13.3,9.8,180,4.5,60,77.5,9.5,
235,보령,2002-03-20,13.2,4,17.7,,,,16.8,10.5,180,9.4,61,78.3,9.3,
235,보령,2002-03-21,7.7,5.8,16.8,,,,18.2,13,200,5.7,63,86.6,2.4,
