지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
235,보령,1992-01-03,-.1,-3.5,4,,,,,3,360,-5,57,70.5,5.3,
235,보령,1992-01-04,-1.8,-5.9,5.4,,,,,3,50,-5.7,55,76.3,7.9,
235,보령,1992-01-05,.2,-3.7,4.1,.63,,,,6,50,-4.5,57,71.5,1.1,
235,보령,1992-01-06,4.6,1.5,8.4,10.88,,,,4.5,20,1.1,64,78.5,1.4,
235,보령,1992-01-07,4,1.7,5.7,3.37,,,,6.5,340,-.1,56,75.3,2.5,
235,보령,1992-01-08,1.9,-1,6.1,,,,,3.5,20,-2.3,57,74,3,
235,보령,1992-01-09,1,-1.5,4.4,4.48,,,,4,20,-3.3,61,78,.8,
235,보령,1992-01-10,-.2,-4.1,6.7,,,,,3.5,20,-4.8,48,73,8,
235,보령,1992-01-11,-.9,-6,7.1,,,,,3,50,-6.8,35,69,6.4,
235,보령,1992-01-12,.6,-4.8,8,.6,,,,3,200,-2.9,62,78.8,4,
235,보령,1992-01-13,1.8,-.7,4.9,.08,,,,3.5,360,-2,60,77,.6,
235,보령,1992-01-14,1.2,-4.4,6.6,,,,,4,20,-4.2,42,69.8,7.2,
235,보령,1992-01-15,-1.1,-5.7,4.4,,,,,2.5,50,-5.9,49,72.5,2.7,
235,보령,1992-01-16,1.2,-.1,3.5,7.38,,,,6,200,-2.5,57,77.8,.4,
235,보령,1992-01-17,-1.1,-3.6,1.5,7.87,,,,5.5,360,-7.5,53,61.5,4.8,
235,보령,1992-01-18,-2,-5,1.1,,,,,5.5,360,-10.3,41,54,8.4,
235,보령,1992-01-19,-4.3,-9.5,2.2,,,,,3,320,-10.6,38,63,8.5,
235,보령,1992-01-20,-3,-9.2,5.7,,,,,3,20,-10.3,31,60.3,8.1,
235,보령,1992-01-21,-1,-7.3,6.3,,,,,2.5,20,-6.3,51,67.5,4.3,
235,보령,1992-01-22,1,-3.4,4,1.27,,,,5,340,-4.8,43,66,6.4,
235,보령,1992-01-23,-1.1,-4.8,4.1,3.08,,,,3.5,20,-6.4,41,69.5,6.5,
235,보령,1992-01-24,.2,-4,6.7,,,,,4,70,-4.4,46,73.8,6.5,
235,보령,1992-01-25,2.1,-4.6,7.9,.4,,,,3,20,-2.2,53,74,5.7,
235,보령,1992-01-26,-1.8,-8.1,6.9,,,,,3,20,-6.3,45,73.8,8.5,
235,보령,1992-01-27,1.1,-3.9,7.8,,,,,3,160,-4.6,34,71,8.1,
235,보령,1992-01-28,2.9,-6.2,11.2,2.95,,,,7,200,-.8,58,75.3,2.6,
235,보령,1992-01-29,2.8,.2,7.8,,,,,2.5,20,-1.1,51,76.5,.7,
235,보령,1992-01-30,.1,-4.1,4.6,,,,,4,20,-5,44,70,4.1,
235,보령,1992-01-31,-1.5,-6,3.5,2.07,,,,4.5,360,-7,46,68.3,7.4,
235,보령,1992-02-01,-1.1,-5.6,4.7,,,,,4,20,-5.6,47,72.5,8.8,
235,보령,1992-02-02,-.6,-5.7,3.8,5.95,,,,3.5,50,-3.7,60,80.3,.5,
235,보령,1992-02-03,1.8,-.5,3.5,11.75,,,,4.5,20,-.4,73,85.8,0,
235,보령,1992-02-04,-.7,-5.6,4.4,,,,,3.5,20,-6.4,45,66.3,9,
235,보령,1992-02-05,-2.9,-8.3,5.4,,,,,3.5,320,-8.1,40,70.5,9,
