지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
235,보령,1982-01-02,-1.9,-6.3,6.4,,,,,2.5,90,-5.5,44,74.3,7.5,
235,보령,1982-01-03,5.3,-2.9,12.8,2.58,,,,10,230,-.6,44,59.5,1.2,
235,보령,1982-01-04,5.3,0,12.2,8.33,,,,8,50,1.3,58,85.3,0,
235,보령,1982-01-05,-1.1,-4.6,4.1,,,,,3,340,-4,52,77.5,8.1,
235,보령,1982-01-06,-1.4,-6.4,4.3,,,,,5.5,360,-4.1,39,81.8,6.9,
235,보령,1982-01-07,-2.9,-5.8,1.7,,,,,3.5,50,-7.2,53,73,8.3,
235,보령,1982-01-08,.3,-6,4.3,2.25,,,,7.5,230,-.1,76,90,0,
235,보령,1982-01-09,2.9,-3.4,7.3,,,,,4.5,20,-3.5,34,74.8,6.8,
235,보령,1982-01-10,-1.5,-5.8,5.6,,,,,2.5,340,-4.6,42,81.8,7.7,
235,보령,1982-01-11,7.3,-1.1,11.5,,,,,9,200,3.3,31,65.3,.4,
235,보령,1982-01-12,-5.4,-7.5,-.3,,,,,5.5,20,-13.6,45,56.5,7.5,
235,보령,1982-01-13,-6.3,-8.9,-1.4,1.92,,,,5,50,-8.8,46,75.5,3.5,
235,보령,1982-01-14,-6.3,-11,-.9,.33,,,,4,50,-10.9,49,67.3,8.2,
235,보령,1982-01-15,-3.4,-5.1,-.9,,,,,4,50,-10.4,45,63.5,5.3,
235,보령,1982-01-16,-4.5,-6.3,-1.6,3,,,,5,50,-10.5,54,62,3.4,
235,보령,1982-01-17,-5.9,-11.2,-.3,,,,,4,90,-11.9,35,64.3,8.2,
235,보령,1982-01-18,-3.7,-6.1,-1,19.67,,,,6,360,-6.3,63,81.8,2.3,
235,보령,1982-01-19,-5.7,-8.7,-3,2.33,,,,4.5,50,-10.9,57,70.8,6.3,
235,보령,1982-01-20,-6.1,-13.1,2.2,,,,,3.5,200,-10.1,42,76,8.6,
235,보령,1982-01-21,.7,-4.3,7,,,,,4,200,-1.8,60,79.5,6.8,
235,보령,1982-01-22,2.3,-1.4,5.8,,,,,3,320,.6,77,87.3,2,
235,보령,1982-01-23,-.2,-3.9,4.2,,,,,2.5,340,-3.3,45,76.8,4.1,
235,보령,1982-01-24,1.5,-1,6.9,,,,,4,320,-1.4,61,81.5,4.6,
235,보령,1982-01-25,-.4,-4.3,4.9,,,,,3.5,50,-4.9,41,74.5,8,
235,보령,1982-01-26,-.4,-4.2,3.9,,,,,5,360,-3.4,53,78,4.3,
235,보령,1982-01-27,-2.7,-5.3,1,,,,,6.5,360,-11.1,45,56.8,5.8,
235,보령,1982-01-28,-6.9,-8.7,-5,,,,,7.5,20,-14.1,45,57.3,7.5,
