지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
235,보령,2022-01-06,-.7,-4.7,5.6,,,,4.9,2.9,20,-8,36,59.1,8.6,
235,보령,2022-01-07,-1.3,-6.5,5.1,,,,3.8,2.3,50,-8.2,31,62,8.6,
235,보령,2022-01-08,1.3,-4,6.2,,,,3.9,2.4,20,-4.4,49,66.4,5.1,
235,보령,2022-01-09,2.1,-1.9,5.8,,,,4.3,2.2,50,-2.5,53,72.3,7.5,
235,보령,2022-01-10,1.2,-4,6.4,,,,3.8,2,20,-4.4,45,67.8,4,
235,보령,2022-01-11,-3.2,-5.3,.9,,,,9.8,4.3,340,-10,45,59.6,5.9,
235,보령,2022-01-12,-3.9,-7.5,.9,,,,6.5,3.5,20,-10.7,37,59.9,8,
235,보령,2022-01-13,-3.6,-5.6,0,,,,10.4,4.5,340,-9.7,50,63.6,5.6,
235,보령,2022-01-14,-3.4,-8.5,2.4,,,,5.1,2.8,50,-11.9,28,53.5,8.6,
235,보령,2022-01-15,1.5,-4.3,6.1,,,,4.8,3.2,200,-8,26,50.8,3.5,
235,보령,2022-01-16,.3,-4,5.2,,,,7.9,3.6,340,-6.4,47,60.9,4.1,
235,보령,2022-01-17,-2.4,-5.7,2.4,,,,7.7,4.8,20,-8.2,50,64.6,4,
235,보령,2022-01-18,-4.1,-8.9,1.3,,,,5.4,2.7,20,-12,36,55.8,8.6,
235,보령,2022-01-19,-2.7,-8,4,,,,7.8,5.4,50,-8.5,39,66,3.7,
235,보령,2022-01-20,-4.1,-10.3,1.4,,,,4.9,3,20,-9.6,52,66.3,8.6,
235,보령,2022-01-21,-1.7,-7,4.4,,,,4.3,3,50,-9.3,36,57.6,8.7,
235,보령,2022-01-22,2,-2.5,5.7,,,,3.2,2.3,20,-5.6,41,57.4,.9,
235,보령,2022-01-23,3.5,-.2,8.4,,,,6.1,4.4,360,-5.3,34,53.6,2.5,
235,보령,2022-01-24,4.6,-2.2,10,,,,5.2,2.8,50,-1.7,44,65,3.4,
235,보령,2022-01-25,4.4,.3,6.5,,,,5.1,3.6,180,.3,53,75.6,0,
235,보령,2022-01-26,2.2,-.8,7.4,,,,3.5,2,320,-3.8,47,65.5,5.6,
235,보령,2022-01-27,.3,-3,5.1,,,,5.7,3.2,320,-6.7,38,60.5,8.6,
235,보령,2022-01-28,-1,-5.1,3.5,,,,4.8,3,20,-7.3,36,63.1,8.8,
235,보령,2022-01-29,-2,-6.5,2.4,,,,5.9,3.2,360,-9.8,33,56.9,8.8,
235,보령,2022-01-30,-1.8,-7.2,3.5,,,,6.6,3,340,-10.1,27,54.9,8.8,
235,보령,2022-01-31,0,-5.7,4.9,,,,6.2,3.4,200,-5.8,43,66,8.9,
235,보령,2022-02-01,1.1,-.7,2.9,,,,6.3,2.3,360,-4.5,50,67,2.9,
235,보령,2022-02-02,-.5,-4.1,2.1,,,,5.7,3.1,320,-7.4,46,60,7.5,
235,보령,2022-02-03,-1.8,-4.7,3.3,,,,6,2.9,20,-9.6,30,57.3,8.9,
235,보령,2022-02-04,-2.3,-5.4,2.6,,,,6.3,3.7,20,-7.3,45,69.9,5.9,
235,보령,2022-02-05,-3.3,-6.1,1,,,,7.5,3.4,20,-9.1,46,64.6,7.1,
