지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
238,금산,1992-01-03,-1.5,-6.7,4.3,,,,,3.5,290,-5.3,48,77.5,7.1,
238,금산,1992-01-04,-3.1,-8.8,4,,,,,2,290,-7.1,45,77.5,7,
238,금산,1992-01-05,-2.1,-6.7,2.2,,,,,1.5,90,-5.1,62,80.5,0,
238,금산,1992-01-06,3.5,-.7,9.3,9.1,,,,3,140,1.3,64,86.3,2.8,
238,금산,1992-01-07,2.2,-2.6,5.5,9.03,,,,4,290,-.1,63,85.3,.4,
238,금산,1992-01-08,-.6,-4.9,5.3,,,,,2,290,-3.1,62,83.8,2.4,
238,금산,1992-01-09,.6,-1.8,4.3,.32,,,,3,290,-2.8,60,77.8,2.6,
238,금산,1992-01-10,-1.2,-6.2,6.2,,,,,2.5,360,-5.4,41,76.5,7,
238,금산,1992-01-11,-2,-8.7,7.4,,,,,1.5,290,-7.2,30,72.3,6.2,
238,금산,1992-01-12,-2.1,-7.8,5.3,,,,,1.5,290,-4.8,62,81.8,1.3,
238,금산,1992-01-13,.1,-2.8,3.2,1.1,,,,3,290,-2.8,67,81.8,0,
238,금산,1992-01-14,-1,-4,4.2,1.28,,,,2,270,-4.6,52,77.3,4.3,
238,금산,1992-01-15,-2.8,-9,4,,,,,3,290,-6.8,50,75.3,6.1,
238,금산,1992-01-16,-.2,-1.8,4.2,5.83,,,,4,290,-3.1,61,80.3,1.1,
238,금산,1992-01-17,-2.7,-5.3,.2,,,,,5.5,320,-7.6,56,69.8,4.6,
238,금산,1992-01-18,-3.9,-6.5,-.4,,,,,5,290,-11.3,40,57.8,8.1,
238,금산,1992-01-19,-5.7,-12.5,2.2,,,,,2.5,360,-10.7,41,71.3,7.8,
238,금산,1992-01-20,-4.3,-12.1,5.1,,,,,2.5,360,-9.5,35,72.3,7.5,
238,금산,1992-01-21,-1.8,-9.1,5.6,,,,,3,270,-5.8,48,76.3,5.7,
238,금산,1992-01-22,.9,-2.4,3.4,1.08,,,,4,290,-4.8,41,67.8,6.7,
238,금산,1992-01-23,-1.5,-5.7,2.4,.55,,,,4,360,-5.9,50,72.8,6,
238,금산,1992-01-24,-.6,-3.5,5.3,,,,,3.5,270,-4.3,50,78,3.8,
238,금산,1992-01-25,1.5,-3.7,7.8,.47,,,,3.5,270,-2.2,53,78.8,4.7,
