지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
238,금산,1972-01-09,,-2.9,12.2,,,,,,50,,,,,
238,금산,1972-01-10,,,,,,,,,320,,,,,
238,금산,1972-01-11,,,,,,,,,320,,,,,
238,금산,1972-01-12,,,,,,,,,320,,,,,
238,금산,1972-01-13,,,,,,,,,320,,,,,
238,금산,1972-01-14,,,,,,,,,320,,,,,
238,금산,1972-01-15,,,,,,,,,320,,,,,
238,금산,1972-01-16,,,,,,,,,320,,,,,
238,금산,1972-01-17,,,,,,,,,320,,,,,
238,금산,1972-01-18,,,,,,,,,320,,,,,
238,금산,1972-01-19,,,,,,,,,320,,,,,
238,금산,1972-01-20,,,,,,,,,320,,,,,
238,금산,1972-01-21,,-5,4.2,,,,,10,320,,,,,
238,금산,1972-01-22,,,,,,,,,320,,,,,
238,금산,1972-01-23,,,,,,,,,320,,,,,
238,금산,1972-01-24,,4.1,10.8,,,,,,140,,,,,
238,금산,1972-01-25,,,,,,,,,320,,,,,
238,금산,1972-01-26,,,,,,,,,270,,,,,
238,금산,1972-01-27,,,,,,,,,230,,,,,
238,금산,1972-01-28,,,,,,,,,270,,,,,
238,금산,1972-01-29,,,,,,,,,50,,,,,
238,금산,1972-01-30,,,,,,,,,360,,,,,
238,금산,1972-01-31,,,,,,,,,360,,,,,
238,금산,1972-02-01,,,,,,,,,270,,,,,
238,금산,1972-02-02,,,,,,,,,320,,,,,
238,금산,1972-02-03,,,,,,,,,180,,,,,
238,금산,1972-02-04,,,,,,,,,50,,,,,
238,금산,1972-02-05,,,,,,,,,90,,,,,
238,금산,1972-02-06,,,,,,,,,140,,,,,
238,금산,1972-02-07,,,,,,,,,360,,,,,
238,금산,1972-02-08,,,,,,,,,90,,,,,
238,금산,1972-02-09,,,,,,,,,90,,,,,
238,금산,1972-02-10,,,,,,,,,180,,,,,
238,금산,1972-02-11,,,,,,,,,230,,,,,
238,금산,1972-02-12,,,,,,,,,360,,,,,
238,금산,1972-02-13,,,,,,,,,320,,,,,
238,금산,1972-02-14,,,,,,,,,180,,,,,
238,금산,1972-02-15,,,,,,,,,180,,,,,
238,금산,1972-02-16,,,,,,,,,180,,,,,
238,금산,1972-02-17,,,,,,,,,180,,,,,
238,금산,1972-02-18,,,,,,,,,180,,,,,
238,금산,1972-02-19,,,,,,,,,180,,,,,
238,금산,1972-02-20,,,,,,,,,50,,,,,
238,금산,1972-02-21,,,,,,,,,90,,,,,
