지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
238,금산,2012-01-05,-5.9,-11.3,.9,,,,6.3,3.3,270,-11.2,40,67.6,7.8,
238,금산,2012-01-06,-5.1,-12.3,3.4,,,,6,3.1,290,-10.1,42,69.6,6.8,
238,금산,2012-01-07,-7,-13.7,3.1,,,,3.5,1.8,270,-12.9,25,66.4,8.7,
238,금산,2012-01-08,-5.3,-12.7,3.5,,,,5.6,3.3,290,-12.1,18,64.1,7.8,
238,금산,2012-01-09,-3,-9.1,3.6,,,,3.7,1.4,270,-7,51,75,.7,
238,금산,2012-01-10,-.4,-4.2,3.8,,,,6.5,3.5,270,-8.3,32,57,6.9,
238,금산,2012-01-11,-4.8,-11.8,-.2,,,,7.7,3.8,290,-13.3,28,54,7.1,
238,금산,2012-01-12,-5.5,-13.9,2.5,,,,6.4,3,290,-11.6,37,64.1,7.1,
238,금산,2012-01-13,-2.8,-8.7,5.4,,,,8.1,3.7,290,-7.8,40,70.1,3.5,
238,금산,2012-01-14,-4.1,-11.4,4.3,,,,5.4,2.7,270,-13.1,15,56.8,8.9,
238,금산,2012-01-15,-3.3,-7.6,3.1,,,,4.5,2,270,-12.3,21,54,2.8,
238,금산,2012-01-16,-.6,-7.8,7.8,,,,5.2,2.9,110,-6.3,42,67.1,4.1,
238,금산,2012-01-17,.1,-3.6,7.5,,,,2.7,1.6,270,-3.1,56,79.8,.1,
238,금산,2012-01-18,-.4,-5.1,7.9,,,,3.2,1.4,270,-5.6,33,71.4,4.3,
238,금산,2012-01-19,3.9,-.6,6.8,,,,8.1,4.1,70,.1,64,77.1,0,
238,금산,2012-01-20,6.3,3,9,,,,9.8,4.6,70,-.6,46,61.6,.5,
238,금산,2012-01-21,2.6,1.6,4.4,,,,4.3,2.2,270,.1,74,83.8,0,
238,금산,2012-01-22,-3.4,-8.3,1.6,,,,7.4,4.2,290,-12,26,54,7.5,
238,금산,2012-01-23,-7.9,-11.9,-3.3,,,,8.7,4.6,290,-16.4,23,53,9,
238,금산,2012-01-24,-8.2,-13.3,-1.7,,,,5.6,3.3,270,-15.8,24,58.9,7.8,
238,금산,2012-01-25,-7.1,-12.1,-2.6,,,,10.1,5.3,290,-14.8,30,56.3,7.3,
238,금산,2012-01-26,-5,-13.9,3.3,,,,7.9,4.5,250,-9.6,42,71.9,6.5,
238,금산,2012-01-27,-1.1,-6.7,5.8,,,,8.3,3.8,270,-5,46,76.1,3.6,
238,금산,2012-01-28,-.9,-4.6,5.6,,,,5.5,3.5,270,-13.4,12,43.8,8.5,
238,금산,2012-01-29,-3,-9.1,3.4,,,,8.3,4.8,290,-16.2,13,42,8.1,
238,금산,2012-01-30,-5,-9.7,.8,,,,7.7,4.6,320,-20.1,11,34.5,9.1,
238,금산,2012-01-31,-4.1,-13,2.9,,,,10.5,5.6,180,-9.3,35,68.3,1.1,
238,금산,2012-02-01,-7.5,-10.9,-1.7,,,,7.4,3.9,290,-14.3,36,58.9,8.6,
238,금산,2012-02-02,-11.8,-14.8,-7.3,,,,7.6,3.7,290,-17.7,41,62.6,8.5,
238,금산,2012-02-03,-9.4,-15.8,-2.2,,,,6.7,3.5,290,-14.5,40,68.3,8,
238,금산,2012-02-04,-3.7,-10.5,3.9,,,,8.9,3.9,270,-9.3,34,67.3,7.2,
238,금산,2012-02-05,-2,-7,6.2,,,,4.3,1.8,90,-9.2,20,62.9,6.7,
238,금산,2012-02-06,-.7,-6.4,4.2,,,,2.8,1.2,90,-5.1,57,72.4,0,
238,금산,2012-02-07,-5,-10.3,2.4,,,,9.8,4.8,290,-15,27,46.5,9.3,
238,금산,2012-02-08,-7.8,-13.6,-1.9,,,,7.3,3.9,270,-13.3,40,65.1,5.3,
238,금산,2012-02-09,-4.5,-12.5,.5,,,,6.2,3.4,270,-11.9,31,59.4,8.6,
238,금산,2012-02-10,-2.9,-8.7,2.6,,,,6.6,3.6,290,-10,30,60.9,6,
238,금산,2012-02-11,-4,-10.7,2.8,,,,6.1,3.6,290,-14.5,14,49.9,9.5,
238,금산,2012-02-12,-1.9,-10.4,6.3,,,,4.8,2.4,290,-11.1,23,54.1,8.7,
238,금산,2012-02-13,.9,-3,5.1,,,,2.1,1.3,270,-6.2,47,60.1,0,
238,금산,2012-02-14,2.3,-1.5,9,,,,4.9,3.2,270,-5.3,29,60.3,3.6,
238,금산,2012-02-15,.9,-2.1,6.2,,,,5.9,3.2,290,-12.7,10,41.5,5.6,
238,금산,2012-02-16,-.9,-6.3,4.1,,,,8.5,4.7,290,-15.9,14,34,9.4,
238,금산,2012-02-17,-4.6,-8,-.6,,,,9.6,5.2,290,-15.2,23,45.4,6.1,
238,금산,2012-02-18,-6.4,-12.2,-1.1,,,,8.1,4.1,290,-15.7,22,50.9,8.9,
238,금산,2012-02-19,-4.8,-12.1,2.2,,,,6.9,3.3,270,-13.3,29,55.3,9.3,
238,금산,2012-02-20,-3.2,-12.2,6.7,,,,6,3.2,290,-14.7,14,50,8.8,
238,금산,2012-02-21,-1.5,-9.1,6.9,,,,5.1,3.2,160,-9.2,21,59.4,1.5,
238,금산,2012-02-22,2.4,-6,12.1,,,,4.6,3.2,90,-3.3,37,68.8,6.8,
238,금산,2012-02-23,4.2,-.6,10.9,,,,9.1,4.5,290,-2.5,34,64,6.7,
238,금산,2012-02-24,3.4,-4.6,11.2,,,,5.9,3,110,-3.4,34,64.6,5.7,
238,금산,2012-02-25,.9,-2.1,3.5,,,,5,2.8,290,-3.7,56,71.6,0,
238,금산,2012-02-26,-2.1,-6.1,2.8,,,,4.6,2.6,290,-10,33,55.6,2.8,
238,금산,2012-02-27,-2.7,-10.2,6.4,,,,5.2,2.7,340,-13.6,13,50.5,10,
238,금산,2012-02-28,-.8,-7.3,5.7,,,,3.2,1.6,70,-7.6,40,62,0,
238,금산,2012-02-29,3.2,-6.3,14,,,,4.2,2,50,-5.5,20,58.8,9.8,
238,금산,2012-03-01,6.5,-1.3,16.2,,,,3.4,2.1,270,-4.8,17,49.5,8.9,
238,금산,2012-03-02,4.9,3.2,7.5,,,,4.2,1.9,290,.6,53,74.6,0,
238,금산,2012-03-03,5.9,1.7,11.3,,,,6.5,3.7,90,.3,46,69.6,3.6,
238,금산,2012-03-04,4.2,-.3,7.1,,,,7.6,4.4,90,-.3,63,73.4,0,
238,금산,2012-03-05,4.5,2.7,5.8,,,,6.6,3.3,110,1.5,72,81.4,0,
238,금산,2012-03-06,4,-.2,6.8,,,,8.1,4.6,270,-.4,50,74,.6,
238,금산,2012-03-07,3.6,-.3,9.8,,,,5.4,2.9,270,-3.5,31,62,5.1,
238,금산,2012-03-08,1.9,-3.3,9.4,,,,7,4.4,360,-7.9,14,55.5,7.6,
238,금산,2012-03-09,3.2,-4.1,11.7,,,,5.5,3.1,290,-6.2,21,53.8,9.3,
238,금산,2012-03-10,2.9,-2.1,10.1,,,,5.9,3.2,250,-5,26,58.8,5.8,
238,금산,2012-03-11,-.8,-4.4,2.6,,,,12.8,5.8,290,-12.5,16,43.6,9.6,
238,금산,2012-03-12,-1.4,-6.1,5.2,,,,9.1,4.4,290,-14.3,15,39.9,10.8,
238,금산,2012-03-13,-.3,-8.1,7.9,,,,7,3.5,270,-9.4,22,54.8,9.5,
238,금산,2012-03-14,2.6,-6.4,11.2,,,,9.4,4.6,270,-3.9,34,64.8,8.7,
238,금산,2012-03-15,5.8,-1.2,13.3,,,,5.7,3.3,250,-7.7,9,46.3,9.8,
238,금산,2012-03-16,5.7,1.9,9.9,,,,4.8,2.8,140,.4,44,70.1,0,
238,금산,2012-03-17,8.6,6.3,11.7,,,,4.3,2.5,340,6,73,84.6,0,
