지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
238,금산,2002-01-04,5.9,-1,8.6,,,,12.3,5.4,340,-1.2,47,60,7.8,
238,금산,2002-01-05,.4,-6.8,5.1,,,,10.1,4.8,360,-8.5,27,50.9,8.9,
238,금산,2002-01-06,-2.1,-10.6,9.8,,,,3.4,2.4,340,-9.7,20,61.6,9.1,
238,금산,2002-01-07,-.7,-4.4,7.1,16.33,,,14.6,6.3,360,-5.7,52,69.6,5.1,
238,금산,2002-01-08,-3.9,-5.4,-.8,7.17,,,15.1,6.4,360,-10.3,49,63.9,7.5,
238,금산,2002-01-09,-3,-8.8,4.4,,,,5.3,2.6,340,-8.6,33,68.3,9.1,
238,금산,2002-01-10,3.4,-8.1,12.3,,,,7.8,3.9,340,-2.4,44,68.6,7.4,
238,금산,2002-01-11,3.2,-3.4,11.3,,,,5.6,3.3,340,-2.8,33,68,8.5,
238,금산,2002-01-12,3.3,-5,14.8,,,,6.4,3.6,340,-2.9,29,68.4,8.2,
238,금산,2002-01-13,6.1,.6,14.8,,,,2.2,1.5,340,-.3,37,65.3,7.4,
238,금산,2002-01-14,9.7,4.4,17.5,.67,,,5,3.3,230,4.9,49,72.9,8,
238,금산,2002-01-15,11.3,7.8,13.5,21.67,,,3.9,1.8,340,9.3,80,87.4,0,
238,금산,2002-01-16,8.3,3.5,12.6,20.5,,,4.3,2.4,180,6,79,85.5,0,
238,금산,2002-01-17,3,1.8,5.6,13.67,,,3.7,2,360,0,66,80.3,3.3,
238,금산,2002-01-18,.9,-1.3,6,,,,4,2.2,340,-1.7,64,83,5.7,
238,금산,2002-01-19,2.7,-1.6,10.6,,,,3.5,2.1,230,-1.2,44,77.5,7.5,
238,금산,2002-01-20,1.7,-1.6,7,10,,,4.8,2.7,70,-.7,57,84.9,4.8,
238,금산,2002-01-21,-.2,-2.2,3.7,4.58,,,10.6,5.1,360,-3.4,57,80.1,6.5,
238,금산,2002-01-22,-1.8,-3,.8,2.5,,,11.6,5.9,360,-8.8,49,58.9,7.8,
238,금산,2002-01-23,-2.4,-4.5,1.3,.67,,,10.1,4.7,360,-9.6,45,58.8,8.2,
238,금산,2002-01-24,-3,-9.1,4,,,,8.6,3.9,360,-9,37,66.3,9.4,
238,금산,2002-01-25,-2.8,-10.6,6.4,,,,3.2,2.4,360,-9.6,22,64,9.2,
238,금산,2002-01-26,-.3,-3.2,1.5,12.67,,,3.5,1.9,360,-2.7,71,84,.8,
238,금산,2002-01-27,-.6,-3.7,3,1.5,,,5.8,3.2,360,-3.9,59,79.6,8.3,
238,금산,2002-01-28,-1.7,-4,2,1,,,11,4.9,360,-8,40,62.3,7.8,
238,금산,2002-01-29,-3,-10.1,2.5,,,,7,3.8,360,-8.6,40,66.8,8.5,
238,금산,2002-01-30,0,-5.1,4,,,,8.8,4.6,360,-8.5,28,52,9.5,
238,금산,2002-01-31,-3.7,-10.6,3.7,,,,5.5,2.7,340,-9.9,33,66.9,9.5,
238,금산,2002-02-01,-3.3,-10.5,7,,,,5.4,2.9,340,-9.6,25,68.1,9.4,
238,금산,2002-02-02,-.1,-6.3,9.3,,,,5,2.1,360,-5.9,30,69.8,8.5,
238,금산,2002-02-03,-.3,-6.6,11.6,,,,3,2.2,70,-6.3,21,70.3,8.3,
238,금산,2002-02-04,.3,-6,7.3,,,,2,1.3,70,-4,46,76,8.2,
238,금산,2002-02-05,2.3,-3.2,11.1,,,,6,3.3,20,-4.3,24,66.5,9,
238,금산,2002-02-06,3.4,-6,11.8,,,,8.8,4.7,340,-3.8,30,64.3,8.7,
238,금산,2002-02-07,2.6,-4,10.8,,,,9.8,5.1,360,-6.9,21,53.8,9.6,
238,금산,2002-02-08,.5,-6.4,7.6,1.33,,,7,3.8,20,-4.5,35,71.4,7.6,
238,금산,2002-02-09,-1.8,-6.8,3,,,,11.3,5.4,360,-13.6,24,40.1,9.8,
238,금산,2002-02-10,-.9,-5,3.7,2.75,,,7.8,4.3,360,-6,44,69.6,7.5,
238,금산,2002-02-11,-3.2,-9.3,3.5,2.33,,,13,7.3,360,-9.4,31,65,9.7,
238,금산,2002-02-12,-2.7,-11,5.5,,,,7.8,3.3,360,-9.1,32,64.1,10,
238,금산,2002-02-13,-1.3,-7.5,6.5,,,,7.3,3.4,360,-8.7,31,61.3,9.8,
238,금산,2002-02-14,-2.2,-9.1,6.6,,,,6,3.6,360,-10.3,24,59.1,9.8,
238,금산,2002-02-15,-.9,-9.3,8.1,,,,5.5,3.4,340,-9.1,23,59,10.1,
238,금산,2002-02-16,.4,-6.8,10.1,,,,3.9,1.7,90,-6.4,29,66.8,9.3,
238,금산,2002-02-17,1.9,-3.5,9.6,,,,10.1,5.6,340,-2.9,59,70.6,6.9,
238,금산,2002-02-18,-1,-5.4,3.4,,,,11.5,5.5,360,-10.2,26,49.4,10.3,
238,금산,2002-02-19,-1.1,-6.4,5,,,,6.9,3.4,70,-10.1,27,51.4,10.2,
238,금산,2002-02-20,-.2,-9.5,10.1,,,,7.4,3.9,50,-8.6,22,60.9,10.3,
238,금산,2002-02-21,.2,-5.8,2.9,8,,,3.4,2,20,-2.5,60,83.1,.8,
238,금산,2002-02-22,2.8,-1.7,8.3,,,,6.1,3.5,340,-.2,57,81.6,7.8,
238,금산,2002-02-23,1.9,-3.4,10.8,,,,4.8,3,340,-5,25,65.9,8.7,
238,금산,2002-02-24,2.4,-6.9,13.3,,,,5,2.8,340,-5.2,29,62,10.3,
238,금산,2002-02-25,4.6,-1.5,11.3,,,,8.6,4.7,360,-2.5,34,62.4,8.4,
238,금산,2002-02-26,4.7,-3,14,,,,4.6,2.4,70,-4.3,24,55.3,9.9,
238,금산,2002-02-27,4.7,-2.5,12.8,2.5,,,5,2.8,110,-2.1,27,64.8,7.5,
238,금산,2002-02-28,5.5,-1.3,14.1,,,,6.3,3.8,70,-2,30,63.8,9,
238,금산,2002-03-01,3.7,-5,15.6,,,,3.9,2.2,340,-5.1,19,58.6,10.1,
238,금산,2002-03-02,4.9,-3.2,15.8,,,,3.9,2.6,20,-3.7,24,59.3,9.2,
238,금산,2002-03-03,4.3,-3.2,11.5,,,,8.6,4.8,340,-4.7,25,54.4,9.2,
238,금산,2002-03-04,3.7,-5.8,13.6,,,,4,2,340,-7.5,17,50.1,9.5,
238,금산,2002-03-05,2.7,.8,5,16,,,4.1,2.1,360,.6,44,85.9,0,
238,금산,2002-03-06,2.1,-.2,4.5,7.42,,,13,6,360,-3.1,47,67,3.7,
238,금산,2002-03-07,.8,-4.8,7,,,,10,5.5,360,-9.1,25,48,11,
238,금산,2002-03-08,1.1,-7.8,11.1,,,,10.6,3.6,340,-6.7,26,61.3,10.9,
238,금산,2002-03-09,7.6,-4.6,16.3,,,,11.6,6.2,340,-1.2,29,57.6,10.1,
238,금산,2002-03-10,9.3,.6,15,4.17,,,9.3,5.7,340,2.5,44,63.1,7.6,
238,금산,2002-03-11,4.5,-4.3,14.1,,,,10.3,5.5,340,-5.7,22,53.4,10.9,
238,금산,2002-03-12,6.3,-3.7,18.6,,,,7,3.7,20,-4.4,19,52.6,10.5,
238,금산,2002-03-13,9,-2.2,21.5,,,,6.5,3.5,340,-1.3,18,52.5,10.4,
238,금산,2002-03-14,6.8,3.5,9.5,11.83,,,4.5,2.9,360,3.6,61,80.4,0,
238,금산,2002-03-15,7.4,1.7,12.1,.67,,,9.5,4.9,340,2.6,53,72.1,9.7,
