지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
238,금산,1982-01-02,-3.4,-9.3,5,,,,,2.5,360,-7,51,73.8,7.6,
238,금산,1982-01-03,-.7,-8.3,7,,,,,2.5,90,-3.4,58,74.3,3,
238,금산,1982-01-04,3.5,-1,6.2,5.17,,,,4.5,320,1.4,76,84.8,0,
238,금산,1982-01-05,-.6,-3.8,5.7,,,,,3,320,-3.5,58,78.8,7,
238,금산,1982-01-06,-1.3,-5.3,3.4,,,,,4.5,270,-4.9,58,75.8,6.5,
238,금산,1982-01-07,-2.4,-6.5,3.4,,,,,3.5,320,-7,51,69.8,8.2,
238,금산,1982-01-08,-.7,-5.8,3.8,,,,,4.5,140,-3.6,67,76.3,1.3,
238,금산,1982-01-09,2.6,-4.7,7.1,,,,,5.5,270,-3.8,44,67,6.4,
238,금산,1982-01-10,-1.8,-8.1,7.5,,,,,3,270,-6.7,37,68.5,7.7,
238,금산,1982-01-11,3.1,-6.8,13.7,,,,,6,320,1.9,59,78,2.4,
238,금산,1982-01-12,-5.8,-10.1,1.4,,,,,6,320,-12.2,52,67,8.8,
238,금산,1982-01-13,-6.8,-12.1,.2,,,,,5.5,270,-10,62,71.8,5.5,
238,금산,1982-01-14,-6.8,-12,-1.4,,,,,3,320,-11.8,51,68,8.5,
238,금산,1982-01-15,-4.3,-8.1,-.3,.83,,,,4,270,-8,64,75,3.5,
238,금산,1982-01-16,-6.6,-9.4,-2.8,,,,,5.5,270,-10.8,62,70.5,5.4,
238,금산,1982-01-17,-7.1,-14,.4,,,,,4.5,90,-11.8,46,66.5,8.1,
238,금산,1982-01-18,-5.6,-9.3,-.8,5.25,,,,7,270,-7.8,70,76.3,1.9,
238,금산,1982-01-19,-7.5,-11.3,-3.7,,,,,6.5,270,-11.6,62,72.3,8.4,
238,금산,1982-01-20,-7.8,-14.9,.4,,,,,4.5,270,-11.2,49,71.8,8.6,
238,금산,1982-01-21,-2.8,-11,6.4,,,,,5.5,230,-5.7,60,73.3,6.1,
238,금산,1982-01-22,.2,-1.6,2.8,2.33,,,,2,360,-1.7,81,85.3,0,
238,금산,1982-01-23,-1.5,-6.6,6.1,,,,,2.5,360,-5.8,47,73.5,4.2,
238,금산,1982-01-24,1.6,-1.8,7.2,,,,,5,270,-3.6,41,70.5,6,
238,금산,1982-01-25,-1.2,-6.9,6.6,,,,,3,270,-6,47,68.3,7.7,
238,금산,1982-01-26,-2.1,-7.6,3.9,,,,,5.5,270,-5.2,58,75,5.7,
238,금산,1982-01-27,-3,-6.9,.4,.33,,,,6.5,320,-9.3,52,65.5,6.8,
238,금산,1982-01-28,-8.2,-12,-5.3,,,,,7.5,270,-15,52,62.3,8.5,
238,금산,1982-01-29,-9.9,-15.6,-3.6,,,,,5,320,-14.8,49,62.5,8.7,
238,금산,1982-01-30,-8.4,-15.2,-.1,,,,,4.5,270,-12.4,49,68.3,8.3,
238,금산,1982-01-31,-5.2,-9.3,-.3,.33,,,,3.5,320,-7.6,63,78.3,1.4,
238,금산,1982-02-01,-2.8,-7.7,1.9,,,,,6,270,-9.3,44,65.3,8.4,
238,금산,1982-02-02,-5.5,-13,2.4,,,,,4,320,-10.8,44,64.5,8.2,
238,금산,1982-02-03,-1.4,-6.2,3,,,,,2.5,320,-4.5,60,73.5,.6,
238,금산,1982-02-04,-1.1,-3.4,2.5,6.83,,,,3,270,-3.5,73,84,3.1,
238,금산,1982-02-05,-4,-8.5,.4,,,,,5,320,-9.9,51,69.8,9,
238,금산,1982-02-06,-6.6,-10.4,-.7,,,,,7,270,-12.3,44,63.5,9.1,
238,금산,1982-02-07,-8.3,-13.8,-2.1,,,,,4.5,320,-14,50,61,8.6,
238,금산,1982-02-08,-7,-13.4,1,,,,,4.5,270,-12.7,40,61,9.2,
238,금산,1982-02-09,-4.2,-11.9,4.9,,,,,7,270,-8.5,53,63.3,5.2,
238,금산,1982-02-10,-4.5,-11.5,3,,,,,4.5,270,-9.8,40,62.5,9.1,
238,금산,1982-02-11,-4.7,-12.4,2.6,,,,,2.5,270,-9.3,42,65.8,5.6,
238,금산,1982-02-12,-1.9,-9.5,7.5,,,,,3.5,320,-6.5,45,66.3,8.7,
238,금산,1982-02-13,-1.7,-8.6,7.5,,,,,3,270,-6.8,44,67.5,7.9,
238,금산,1982-02-14,-1.8,-8.7,7.9,,,,,3,320,-7.3,40,66.3,8.7,
238,금산,1982-02-15,-2,-9.5,7.4,,,,,3.5,320,-6.7,43,68,8.8,
238,금산,1982-02-16,-1.2,-8.9,9.9,,,,,3.5,320,-6.9,36,64.8,8.4,
238,금산,1982-02-17,.1,-6.1,9.7,,,,,3,320,-5.5,42,64.8,7.1,
238,금산,1982-02-18,1.3,-6.9,11.2,,,,,2.5,270,-4.1,42,66.5,6.4,
238,금산,1982-02-19,4.5,2.6,6.6,1.83,,,,2,180,2.7,64,84.8,0,
238,금산,1982-02-20,5.9,3.4,11.8,.5,,,,3,320,3.2,59,81.3,5.9,
238,금산,1982-02-21,4.6,-1.4,9.3,,,,,6,270,-.6,52,72.8,4.7,
238,금산,1982-02-22,2.2,-4.8,11.2,,,,,4.5,270,-.7,55,75,6.5,
238,금산,1982-02-23,4.5,-2.2,12.7,,,,,2.5,270,-.2,45,70.8,4.9,
238,금산,1982-02-24,4.8,1.6,8.2,,,,,3,,.3,60,73.3,3.8,
238,금산,1982-02-25,2.3,-3.2,8.4,,,,,4,270,-4.3,41,67.8,9.6,
238,금산,1982-02-26,-.1,-6.1,8.4,,,,,3,320,-6.1,38,65.8,9.6,
238,금산,1982-02-27,1.6,-5.7,10.3,,,,,4.5,50,-3.7,41,67.3,8.7,
238,금산,1982-02-28,3.5,-4,12.9,,,,,3,50,-2.1,37,65.3,6.4,
238,금산,1982-03-01,2.6,-2,7.1,1.17,,,,5.5,230,-2.5,53,70.3,3.6,
238,금산,1982-03-02,.3,-6.3,8.2,,,,,5.5,270,-6.3,34,61.3,9.9,
238,금산,1982-03-03,2,-6.7,12,,,,,5,180,-3.6,33,64,9.7,
238,금산,1982-03-04,2.2,-1.7,5.2,11.33,,,,2,140,1.3,70,85.3,0,
238,금산,1982-03-05,5.4,-.2,9.8,,,,,5.5,320,-1.1,41,69.3,5.7,
238,금산,1982-03-06,-.1,-3.5,4.6,,,,,7.5,270,-7.7,40,56.5,10.1,
238,금산,1982-03-07,-1.3,-7.3,3.8,,,,,5.5,320,-8.1,38,57,10.1,
238,금산,1982-03-08,.1,-6.7,8.2,,,,,5,180,-5.5,43,65,9.9,
238,금산,1982-03-09,5.9,-.7,12.4,,,,,6,180,-2.6,33,59.3,10,
238,금산,1982-03-10,5.9,-2.4,14.2,,,,,7,230,-1.7,35,55.5,10.2,
238,금산,1982-03-11,6.3,-3.1,17.8,,,,,3,320,1.3,37,65,9.9,
238,금산,1982-03-12,8,3.2,17.2,,,,,3.5,320,2.2,33,68.5,5.1,
238,금산,1982-03-13,6.5,-2.3,17.8,,,,,3,320,1.6,33,68.5,10.4,
238,금산,1982-03-14,8.7,.2,17.8,,,,,3,180,4.7,45,72.5,6.5,
238,금산,1982-03-15,8.6,4.7,11.8,7,,,,4.5,180,5.6,66,83.3,2.3,
238,금산,1982-03-16,4.1,1,8.3,,,,,5,180,1.3,55,80.5,2.2,
238,금산,1982-03-17,2.9,.7,6.5,1.33,,,,3,320,.3,66,79.8,0,
238,금산,1982-03-18,4.5,-1.7,12.8,,,,,3.5,180,-1.8,38,67.8,9.1,
238,금산,1982-03-19,5.6,.1,11,.83,,,,4,90,.6,50,69,.5,
238,금산,1982-03-20,10.3,3.2,16.4,,,,,4,320,4.3,43,67.8,7.9,
238,금산,1982-03-21,9.1,2.9,16.1,,,,,5.5,270,2.7,45,63.5,10.5,
238,금산,1982-03-22,8.8,-.9,20.8,,,,,4.5,180,4.7,36,69.5,10.8,
238,금산,1982-03-23,9.6,4.1,14.8,.83,,,,4,230,6.9,62,79.8,1.9,
238,금산,1982-03-24,3.7,-1,10.2,,,,,5,270,-4.5,40,56.8,10,
238,금산,1982-03-25,2.2,-4.6,10.2,,,,,4.5,230,-5.2,32,60,10.8,
238,금산,1982-03-26,2.8,-5.8,11.8,,,,,3,180,-4.9,31,57.3,10.5,
238,금산,1982-03-27,5.5,-4.4,15.6,,,,,4.5,230,-2.9,32,49.8,11.1,
238,금산,1982-03-28,6.7,-.9,15.2,,,,,3,180,1.4,44,63.5,10.7,
238,금산,1982-03-29,7.9,-1.4,17.9,,,,,5,230,1.3,38,64.3,10.2,
238,금산,1982-03-30,5.7,3.8,7.9,9.17,,,,5.5,270,3.9,62,82.8,0,
238,금산,1982-03-31,9.5,1.8,16.9,,,,,4,360,5.6,50,73.5,10.6,
238,금산,1982-04-01,10.2,1.6,21.1,,,,,4,270,4.9,37,70,8.9,
238,금산,1982-04-02,8.2,4.5,10.5,14.08,1.5,5.5,,3,140,7.4,82,88.5,0,
238,금산,1982-04-03,10,6,13.1,,,,,4.5,90,3.6,50,69.5,8.3,
