지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
129,서산,2002-01-04,1.7,-5.9,8.6,,,,11.3,7.9,250,-2.7,49,74.8,3.8,1.26
129,서산,2002-01-05,-1.2,-7.7,3.5,,,,12.3,7.9,320,-9.4,35,55,8.1,2.04
129,서산,2002-01-06,-1.5,-9.4,6.7,,,,8.4,5.2,230,-9,25,61.8,7.6,1.93
129,서산,2002-01-07,-.9,-4.9,6.7,7.68,,,20.4,14.1,320,-7,39,64.6,1.8,1.41
129,서산,2002-01-08,-4.3,-5.6,-2.8,1.92,,,15.6,9.7,320,-11,51,62.3,3.3,1.54
129,서산,2002-01-09,-2.6,-9.6,4.1,,,,5.7,4.3,200,-9.1,25,64.9,8.2,2
129,서산,2002-01-10,4.7,-2,8.6,,,,13,8.9,200,2,71,82.5,.4,1.05
129,서산,2002-01-11,2.7,-3,10.1,,,,6.9,5.2,200,-.7,42,80.9,7.5,1.78
129,서산,2002-01-12,4,-3.4,11.1,,,,7.9,6,200,.9,61,82.8,3.1,1.28
129,서산,2002-01-13,8.1,2.4,14.1,,,,5.9,4.3,70,2.5,45,69.8,3.3,1.25
129,서산,2002-01-14,11.5,5.3,17.7,1.42,,,9,6.6,200,7.4,53,77.1,2.6,1.23
129,서산,2002-01-15,12,10.1,13.6,10.47,,,7,5.2,200,11.1,85,94.9,0,.55
129,서산,2002-01-16,6,4.4,10.8,9,,,8.7,5.5,20,5.2,92,94.5,0,.3
129,서산,2002-01-17,1.7,-3,5.8,,,,6.7,4.9,340,-.4,65,86.6,1.8,1.3
129,서산,2002-01-18,-.3,-3.5,4.4,,,,7.6,5.2,70,-2.4,67,87.4,4,1.84
129,서산,2002-01-19,2.5,-3.5,9.8,,,,4.9,3.4,20,-.7,54,81.6,3.3,1.61
129,서산,2002-01-20,1.2,-1.1,3.2,11.42,,,4.5,3.3,20,.1,87,91.6,0,.36
129,서산,2002-01-21,-.6,-3.4,4.5,2.1,,,15.2,9.7,320,-4,49,80.1,2.1,1.2
129,서산,2002-01-22,-2.4,-3.4,-.6,6.65,,,13,8.6,320,-9.3,47,61.1,2.6,1.8
129,서산,2002-01-23,-2.8,-6,0,,,,12.5,7.3,320,-10,52,59.4,5.2,1.92
129,서산,2002-01-24,-4.5,-9.5,1.8,,,,9.2,5.6,70,-10.4,33,69.4,8.8,2.31
129,서산,2002-01-25,-3.6,-10.6,3.4,,,,8.9,4.7,20,-10.1,27,66,9.1,2.25
129,서산,2002-01-26,.2,-3.7,3.3,4.83,,,7.9,5.5,20,-4.7,52,70.5,0,.57
129,서산,2002-01-27,-.3,-2.2,2,,,,12.4,8.1,340,-5.3,55,68.4,4.3,2.02
129,서산,2002-01-28,-1.6,-4,.8,1.08,,,13.1,7.9,320,-9.8,38,54.8,7,2.25
129,서산,2002-01-29,-1,-6.6,3.5,.25,,,12.2,8,20,-8.6,35,59.1,7.2,2.19
129,서산,2002-01-30,-.3,-2.8,2.8,.17,,,10.3,7.2,340,-10.1,27,46.9,8.9,2.02
129,서산,2002-01-31,-4.1,-9.5,2.8,,,,7.8,4.7,320,-12.3,23,58.1,9.4,2.33
129,서산,2002-02-01,-2.4,-9.4,5.6,,,,10,7.6,200,-6.2,56,78.5,7.7,1.76
129,서산,2002-02-02,1,-4.1,8.8,,,,6.5,4.7,20,-3.1,23,78,7.2,1.98
129,서산,2002-02-03,.8,-6.1,9.9,,,,7.1,5.1,50,-5.5,34,68.1,9.3,2.14
129,서산,2002-02-04,.5,-6.2,8.7,,,,4.1,3.3,50,-5.7,38,66.9,1.2,1.56
