지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
129,서산,1972-01-01,.4,-2.7,4.8,1.57,,,10,6,340,-5.6,42,65.5,6.7,
129,서산,1972-01-02,-2,-6.6,1.6,,,,8.7,5,360,-9,39,60.3,8.7,
129,서산,1972-01-03,-3.1,-8,3.3,,,,8.2,5,50,-8.1,47,71,5.3,
129,서산,1972-01-04,1.3,-1.1,4.2,8.25,,,5.4,3.7,50,-.7,61,87.3,0,
129,서산,1972-01-05,1.9,-2,5.2,,,,13.2,5,360,-2.1,56,75.8,3.2,
129,서산,1972-01-06,1.7,-2.6,8.4,,,,9.4,6.3,50,-3.5,47,71,8.8,
129,서산,1972-01-07,.8,-2.6,8,,,,5.8,3.7,50,-4.8,40,68.5,8.8,
129,서산,1972-01-08,.1,-4,6.4,,,,7.2,5.3,20,-4.1,45,75.3,8.9,
129,서산,1972-01-09,2.8,-3.1,13.8,,,,5.8,4,20,-2.2,34,74,8.9,
129,서산,1972-01-10,6.9,4,10.2,,,,8.6,7.2,50,1.8,65,70.3,0,
129,서산,1972-01-11,6.5,.8,13.1,.6,,,6.6,4.8,50,1.9,48,74.3,8,
129,서산,1972-01-12,4.1,.4,9.7,.8,,,6.3,3.3,340,-.6,54,77.5,3.5,
129,서산,1972-01-13,4.1,.2,9.9,,,,8.8,5.3,20,-.8,42,72.5,8.9,
129,서산,1972-01-14,2,-1.4,7,.6,,,4.3,3.3,50,-1.3,65,79.3,1.5,
129,서산,1972-01-15,1.4,-2.5,5.2,1.65,,,7.4,4.5,320,-2.5,64,75.8,1.6,
129,서산,1972-01-16,.8,-3.9,5.7,,,,10.1,7,320,-5.6,49,62.8,6.7,
129,서산,1972-01-17,-1.5,-6.5,8.6,,,,3.8,2.7,20,-7.1,29,73,9.2,
129,서산,1972-01-18,.7,-5,9.7,,,,5.8,3.7,200,-3.1,48,78,6.3,
129,서산,1972-01-19,1.5,-3.4,7.6,6.52,,,8.2,6.2,50,-1.9,53,79.8,2.3,
129,서산,1972-01-20,4.3,2.6,7.3,.88,,,7.3,4.8,230,2.2,73,86.5,0,
129,서산,1972-01-21,-1.2,-5.2,4.5,9.17,,,21.4,12,320,-4.9,60,75,3.6,
129,서산,1972-01-22,-2.5,-6,3.5,,,,10.6,6.7,20,-8,49,66.8,7,
