지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
129,서산,2012-01-05,-3.6,-8,.6,,,,8.4,5.3,70,-9,42,66.8,5.9,1.53
129,서산,2012-01-06,-2.9,-7.9,3,.5,,,8,5.8,360,-8.9,32,65.3,7.5,1.87
129,서산,2012-01-07,-5.2,-10.7,2,,,,5.1,3.2,20,-9.7,37,72.8,8.6,2.07
129,서산,2012-01-08,-3.5,-9.4,2.3,,,,6.8,4.7,50,-7.1,56,77.6,3.2,1.58
129,서산,2012-01-09,-1.1,-5.6,2.5,,,,3.5,2.5,200,-3.5,66,83.9,0,1.12
129,서산,2012-01-10,-.8,-4.6,3.5,,,,9.7,6.1,290,-8.5,36,57,7.9,1.77
129,서산,2012-01-11,-4.9,-10.4,-.3,,,,14.9,7.4,340,-11.3,39,62.3,5.6,1.63
129,서산,2012-01-12,-4.2,-10.4,.6,.83,,,7.4,5.5,70,-7.3,52,79.8,4,1.74
129,서산,2012-01-13,-2.3,-6.7,3.3,.5,,,8.5,5.7,320,-6.7,42,73.3,3.5,1.29
129,서산,2012-01-14,-2.7,-9.1,3.7,,,,6.4,4.2,200,-7.6,42,70.4,7.4,1.9
129,서산,2012-01-15,-2.2,-5.3,2,,,,8.2,5.9,20,-10.5,34,54.1,3.5,1.48
129,서산,2012-01-16,-.6,-6.3,6.3,,,,6.9,4.8,20,-7.9,35,59.3,8.9,1.88
129,서산,2012-01-17,.2,-4,7.5,,,,7.3,5.4,20,-4.8,48,70.3,4.7,1.63
129,서산,2012-01-18,.5,-4.5,5.4,,,,7.8,5.8,20,-6.3,33,62,5.8,1.47
129,서산,2012-01-19,3,-.5,5.2,6.92,,,9.8,6.8,360,-.4,63,79,0,.82
129,서산,2012-01-20,4.2,2.7,5.9,8.5,,,8.6,5.8,20,1.5,70,83.4,0,.46
129,서산,2012-01-21,1.6,-2.1,3.8,5.25,,,9.4,6.7,360,-1.2,70,81.9,.7,.68
129,서산,2012-01-22,-5.4,-7.7,-2.1,,,,12.2,7.5,340,-12.4,50,57.6,7.8,2.08
129,서산,2012-01-23,-6.1,-8.1,-4.2,1.33,,,17.1,9.9,320,-14.2,30,53.5,8.2,2.08
129,서산,2012-01-24,-6.1,-11.5,-1.3,2.83,,,8.4,5.3,50,-14.7,26,54,8.7,2.02
129,서산,2012-01-25,-6.9,-12.1,-3.1,6.5,,,12.7,8.4,340,-12.9,49,63.3,8.1,2.11
129,서산,2012-01-26,-3.8,-12,3.9,1.25,,,10.4,7.2,270,-8.4,38,72.4,2.5,1.24
129,서산,2012-01-27,-.7,-6.8,5.6,3.08,,,8,5.9,360,-4.2,48,77.9,3.1,1.39
