지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
129,서산,1992-01-03,-1.5,-4.5,3.3,,,,6.8,4.2,340,-5.6,48,75.5,4.9,1.01
129,서산,1992-01-04,-1.9,-6.9,5.1,,,,5.2,2.8,20,-5.8,44,78.5,7.4,1.52
129,서산,1992-01-05,.2,-3,3.5,,,,6.9,4.2,70,-3.6,54,76.5,0,.67
129,서산,1992-01-06,2.7,.6,5.6,8.92,,,7.4,4.7,70,.9,66,88,0,.51
129,서산,1992-01-07,3.5,1.8,5.1,2,,,11.8,8,320,-1,50,73.8,2.3,1.07
129,서산,1992-01-08,1.6,-.1,4.8,,,,6.1,3.8,50,-1.9,58,78.8,3.4,1.06
129,서산,1992-01-09,1.6,-.4,3.9,1.75,,,9.2,5.5,50,-3,49,73,0,.66
129,서산,1992-01-10,0,-4.5,6.8,,,,7.6,4.2,70,-4.2,44,76,7.6,1.5
129,서산,1992-01-11,-1.1,-6.1,6.9,,,,4.5,3.3,70,-7.4,23,70.8,6.8,1.63
129,서산,1992-01-12,.4,-5,6.6,,,,7.1,4.3,230,-2,65,85,2.6,1.17
129,서산,1992-01-13,1.9,-1,4.1,3.42,,,7.9,4.5,340,-2.6,53,73,0,.55
129,서산,1992-01-14,.5,-4.2,4.7,,,,5.9,3.8,50,-3.7,37,76,5.9,1.63
129,서산,1992-01-15,-1.1,-5.6,3.9,.17,,,5.1,3,50,-6,37,74.5,2.6,1.61
129,서산,1992-01-16,1.3,-.7,4.3,6.83,,,10.9,7.5,340,-3.9,47,69.5,.5,.77
129,서산,1992-01-17,-1.4,-3.6,.9,3.5,,,16,7.7,360,-9.6,43,54.5,3.9,1.35
129,서산,1992-01-18,-2.3,-4.4,.5,,,,14.6,6.8,360,-12.1,35,47.8,8.1,1.73
129,서산,1992-01-19,-4.5,-8.7,2.1,,,,5,2.7,50,-12.2,28,59.8,7.9,1.71
129,서산,1992-01-20,-4.3,-10.4,3.8,,,,5,2.8,70,-12.5,21,61,8,1.71
129,서산,1992-01-21,-1.9,-8.4,4.4,.67,,,7.8,2.5,230,-5.5,42,78.5,2.5,1.07
129,서산,1992-01-22,.4,-1.8,4.3,1.17,,,10.8,6.8,360,-6.4,35,62.3,7,1.76
129,서산,1992-01-23,-2.1,-4.7,1.5,.83,,,6.7,3.3,50,-6,41,74,3.5,1.21
129,서산,1992-01-24,-.7,-5.5,6,,,,8.6,5,230,-5,41,75.8,6.5,1.48
129,서산,1992-01-25,-.5,-5,6,,,,6,3.2,20,-4.6,48,75.8,5.5,1.57
129,서산,1992-01-26,-1.9,-7.9,7.2,,,,6.5,4.7,270,-6.5,37,74.5,8,1.72
129,서산,1992-01-27,-1,-5,5.9,,,,7.6,4.2,340,-7.4,19,69.5,7.6,1.83
129,서산,1992-01-28,.8,-6.5,8.9,,,,9.8,5.5,200,-1.4,57,85.3,1.4,1.1
129,서산,1992-01-29,1.5,-2.8,5.7,,,,5.1,3.7,50,-2,48,78.8,0,.62
129,서산,1992-01-30,-1.3,-4.5,3.3,,,,6.6,3.3,20,-6.1,34,73,3.2,1.06
129,서산,1992-01-31,-1.7,-6.1,1.8,1.83,,,8.3,3.3,360,-6.2,44,74.3,6.6,1.8
129,서산,1992-02-01,-1.2,-5.6,3.9,,,,8.1,6.3,50,-6.7,38,66.5,4.5,1.75
129,서산,1992-02-02,-1.1,-6.3,2.6,8.45,,,5.8,3.2,230,-3.7,60,83.5,.2,.62
129,서산,1992-02-03,1.1,0,2.9,12.5,,,9,5.5,70,-1.3,66,84,0,.73
129,서산,1992-02-04,-1.9,-6,1.3,,,,7,4.3,360,-7.7,39,66.8,8,1.97
129,서산,1992-02-05,-3.4,-8.4,3.9,,,,7.3,4.8,20,-8.1,33,75,9.2,2.02
129,서산,1992-02-06,-2.1,-6.2,4,4.42,,,12.2,6.2,340,-5.6,48,79.5,2.8,1.67
129,서산,1992-02-07,-2.1,-7.6,3,1.67,,,9.4,5.7,340,-8,40,67.5,5.7,1.62
129,서산,1992-02-08,-2.4,-6.7,.9,.83,,,9.9,5.3,360,-9.4,32,62.5,8.2,2.06
129,서산,1992-02-09,-2.2,-7.6,5.5,,,,8,5.3,230,-7.3,34,72.3,6.9,2.32
129,서산,1992-02-10,-2.1,-6.7,6.6,,,,9.3,6.7,360,-8.8,29,67,7.5,1.94
129,서산,1992-02-11,-2.7,-8.8,5.7,,,,6,4.3,250,-9.3,26,66,8.9,2.06
129,서산,1992-02-12,-.8,-6.5,5.5,2.33,,,7.2,4.2,230,-3.5,64,82.3,1.1,1.13
129,서산,1992-02-13,.4,-4.5,2.9,,,,8.2,5.7,340,-8.4,28,52,8,1.93
129,서산,1992-02-14,-.2,-5.5,6.5,,,,12.7,8.3,250,-4.9,36,74,7.4,1.67
129,서산,1992-02-15,3.7,.4,9.6,2,,,11.3,8.3,340,-2.3,32,68.3,7.7,1.98
129,서산,1992-02-16,-2.3,-6.5,.5,,,,11.8,6.3,360,-12.6,31,47.5,8.5,2.19
129,서산,1992-02-17,-2.8,-7.9,4.6,,,,6.4,4.5,270,-7.4,38,74.3,8.5,1.71
129,서산,1992-02-18,-.4,-5.3,4.4,3.17,,,11,7,340,-7.4,29,62,4.1,1.8
129,서산,1992-02-19,-2.9,-7.6,.3,,,,11.5,6.3,360,-10.8,27,57.3,8.5,2.25
129,서산,1992-02-20,-3.5,-9.8,3.8,.5,,,8.6,4.2,20,-10.6,26,64.3,9.4,2.26
129,서산,1992-02-21,-2.3,-7.6,2.4,,,,11.5,7.3,360,-7.7,31,70.5,8,2.26
129,서산,1992-02-22,-.1,-6.8,6.9,,,,7.5,4.7,230,-4.4,43,75.3,6.9,1.97
129,서산,1992-02-23,3,.6,5.4,1.17,,,15.3,8.2,360,-2.5,38,69,3.2,1
129,서산,1992-02-24,1.9,-.5,5.6,,,,11.2,8.3,320,-6.3,37,56,5,1.61
129,서산,1992-02-25,.6,-5.1,8.8,,,,6.7,3.5,50,-6.9,20,66,9.6,2.27
129,서산,1992-02-26,2.8,-5,11.5,,,,13,8.7,230,-.8,32,79.3,9.1,2.12
129,서산,1992-02-27,9.4,5.2,14.5,,,,8.8,6.7,230,5.6,59,78.3,7.7,1.98
129,서산,1992-02-28,10.5,5.2,15.3,8.75,,,9.3,5.8,230,8.2,61,85.8,.5,.83
129,서산,1992-02-29,12.1,9.3,15.1,11.17,,,13.2,7.5,230,10.5,86,89.8,0,.79
129,서산,1992-03-01,9.6,6.9,14.2,,,,6.7,4.5,70,6.8,65,83.5,2.1,1.74
129,서산,1992-03-02,6.6,3.7,9.8,,,,9.6,5.5,90,1.5,53,70.8,0,.67
129,서산,1992-03-03,5,.6,12.1,,,,6.8,5.5,70,-1.6,32,66,8.1,2.43
129,서산,1992-03-04,4.5,.4,9.8,,,,7,4,50,-2.1,39,63.8,3.3,1.78
129,서산,1992-03-05,3.3,2.2,4.9,16.33,,,7.7,4.5,70,1.3,66,87.3,0,.44
129,서산,1992-03-06,2.8,-1.9,7.2,,,,8.4,5.8,70,-4,33,63.8,9,2.38
129,서산,1992-03-07,1.2,-4.6,7.4,,,,9,5.5,270,-2.5,44,78.8,6.5,1.78
129,서산,1992-03-08,3,-2.7,10,,,,7.9,5.7,230,-1.3,41,77.8,8.4,2.49
129,서산,1992-03-09,3.5,-2.4,12.2,,,,7.3,5.8,70,-1.2,37,74.8,9.5,2.38
129,서산,1992-03-10,3.3,-1.7,10.6,,,,6.6,5,20,-2.8,28,71,5.9,2.2
129,서산,1992-03-11,4.1,-3.5,12.9,,,,6.6,6,70,-4.3,15,62.3,5.3,2.26
129,서산,1992-03-12,5.4,-.5,12.4,,,,5.7,4.8,270,.4,42,72.8,3.5,2.3
